特效ID,注释,"作用对象(0.全体,1.目标,2.目标方全体,3.目标方随机单体,4，目标方随机2人，5.目标方随机3人，6.目标方随机4人，11.释放者,12.释放者方全体,13.释放者方随机单体,14. 释放者方目标单体 其它.特殊规则待扩展)",BUFF时机（1.施放技能前，2.施放技能后，3.进入战斗回合，4.死亡时）,"触发条件(-1.击中目标时,-2.没击中目标时,0.一定触发,1-100.概率触发)","效果持续回合(-2.失去目标前有效,-1.当前战斗结束前有效,0.使用完立刻失效,>0.轮到作用对象行动时减1回合，减到0则效果消失)",每减少一个回合时触发的效果，引用本表id,效果结束时触发的效果，0则不触发任何效果，引用本表id(例如预知未来),类别ID,"同效果叠加(0:新生成,1:回合相加,2:无效,3:覆盖,4:同类型叠加,5:同类型无效,6:同类型覆盖)","效果类型(1正面效果,2负面效果)",效果(说明文字，程序不用),效果的持续特效资源,物攻提升百分比,物防提升百分比,特攻提升百分比,特防提升百分比,速度提升百分比,命中提升百分比,闪避提升百分比,暴击率提升百分比,暴击伤害提升百分比,最终伤害提升百分比,回复（释放者）物攻值百分比的生命值,回复（释放者）特攻值百分比的生命值,回复（释放者）生命上限百分比的生命值,回复（释放者）当前生命值百分比的生命值,回复（目标）物攻值百分比的生命值,回复（目标）特攻值百分比的生命值,回复（目标）生命上限百分比的生命值,回复（目标）当前生命值百分比的生命值,回复造成伤害百分比的生命值,随机使用技能,随机攻击目标,不能行动,解除所有负面效果,恢复SP,火系技能威力提升百分比,水系技能威力提升百分比,草系技能威力提升百分比,妖系技能威力提升百分比,恶系技能威力提升百分比,龙系技能威力提升百分比,冰系技能威力百分比,鬼系技能威力百分比,普通系技能威力,电系技能威力,虫系技能威力,飞行系技能威力,地面系技能威力,岩石系技能威力,格斗系技能威力,超能系技能威力,钢系技能威力,毒系技能威力,物理系技能威力提升百分比,特攻系技能威力提升百分比
50103,3,1,2,0,1,,,1,5,2,灼烧LV3,5,,,,,,,,,,,,,,,,,-0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,
50104,4,1,2,0,1,,,1,5,2,灼烧LV4,5,,,,,,,,,,,,,,,,,-0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,
50105,5,1,2,0,1,,,1,5,2,灼烧LV5,5,,,,,,,,,,,,,,,,,-0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,
50106,6,1,2,0,1,,,1,5,2,灼烧LV6,5,,,,,,,,,,,,,,,,,-0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,
50107,7,1,2,0,1,,,1,5,2,灼烧LV7,5,,,,,,,,,,,,,,,,,-0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,
50108,8,1,2,0,1,,,1,5,2,灼烧LV8,5,,,,,,,,,,,,,,,,,-0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,
50109,9,1,2,0,1,,,1,5,2,灼烧LV9,5,,,,,,,,,,,,,,,,,-0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,
50110,10,1,2,0,1,,,1,5,2,灼烧LV10,5,,,,,,,,,,,,,,,,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
50201,1,1,2,0,2,,,2,5,2,冰冻LV1,1,,,,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50202,2,1,2,0,2,,,2,5,2,冰冻LV2,1,,,,,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50203,3,1,2,0,2,,,2,5,2,冰冻LV3,1,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50204,4,1,2,0,2,,,2,5,2,冰冻LV4,1,,,,,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50205,5,1,2,0,2,,,2,5,2,冰冻LV5,1,,,,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50206,6,1,2,0,2,,,2,5,2,冰冻LV6,1,,,,,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50207,7,1,2,0,2,,,2,5,2,冰冻LV7,1,,,,,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50208,8,1,2,0,2,,,2,5,2,冰冻LV8,1,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50209,9,1,2,0,2,,,2,5,2,冰冻LV9,1,,,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50210,10,1,2,0,2,,,2,5,2,冰冻LV10,1,,,,,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50301,1,1,2,0,2,,,3,5,2,中毒LV1,2,,,,,,,,,,,,,,,,,-0.02475,,,,,,,,,,,,,,,,,,,,,,,,,,,
50302,2,1,2,0,2,,,3,5,2,中毒LV2,2,,,,,,,,,,,,,,,,,-0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,
50303,3,1,2,0,2,,,3,5,2,中毒LV3,2,,,,,,,,,,,,,,,,,-0.02925,,,,,,,,,,,,,,,,,,,,,,,,,,,
50304,4,1,2,0,2,,,3,5,2,中毒LV4,2,,,,,,,,,,,,,,,,,-0.0315,,,,,,,,,,,,,,,,,,,,,,,,,,,
50305,5,1,2,0,2,,,3,5,2,中毒LV5,2,,,,,,,,,,,,,,,,,-0.03375,,,,,,,,,,,,,,,,,,,,,,,,,,,
50306,6,1,2,0,2,,,3,5,2,中毒LV6,2,,,,,,,,,,,,,,,,,-0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,
50307,7,1,2,0,2,,,3,5,2,中毒LV7,2,,,,,,,,,,,,,,,,,-0.03825,,,,,,,,,,,,,,,,,,,,,,,,,,,
50308,8,1,2,0,2,,,3,5,2,中毒LV8,2,,,,,,,,,,,,,,,,,-0.0405,,,,,,,,,,,,,,,,,,,,,,,,,,,
50309,9,1,2,0,2,,,3,5,2,中毒LV9,2,,,,,,,,,,,,,,,,,-0.04275,,,,,,,,,,,,,,,,,,,,,,,,,,,
50310,10,1,2,0,2,,,3,5,2,中毒LV10,2,,,,,,,,,,,,,,,,,-0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,
50401,1,1,2,15,1,,,4,5,2,麻痹LV1,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
50402,2,1,2,20,1,,,4,5,2,麻痹LV2,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
50403,3,1,2,25,1,,,4,5,2,麻痹LV3,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
50404,4,1,2,30,1,,,4,5,2,麻痹LV4,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
50405,5,1,2,35,1,,,4,5,2,麻痹LV5,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
50406,6,1,2,40,1,,,4,5,2,麻痹LV6,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
50407,7,1,2,45,1,,,4,5,2,麻痹LV7,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
50408,8,1,2,50,1,,,4,5,2,麻痹LV8,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
50409,9,1,2,55,1,,,4,5,2,麻痹LV9,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
50410,10,1,2,60,1,,,4,5,2,麻痹LV10,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
50501,1,1,2,15,1,,,5,5,2,混乱LV1,3,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
50502,2,1,2,20,1,,,5,5,2,混乱LV2,3,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
50503,3,1,2,25,1,,,5,5,2,混乱LV3,3,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
50504,4,1,2,30,1,,,5,5,2,混乱LV4,3,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
50505,5,1,2,35,1,,,5,5,2,混乱LV5,3,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
50506,6,1,2,40,1,,,5,5,2,混乱LV6,3,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
50507,7,1,2,45,1,,,5,5,2,混乱LV7,3,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
50508,8,1,2,50,1,,,5,5,2,混乱LV8,3,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
50509,9,1,2,55,1,,,5,5,2,混乱LV9,3,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
50510,10,1,2,60,1,,,5,5,2,混乱LV10,3,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
50601,1,1,2,15,1,,,6,5,2,睡眠LV1,6,,,,,,,,,,,,,,,,,0.1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
50602,2,1,2,20,1,,,6,5,2,睡眠LV2,6,,,,,,,,,,,,,,,,,0.1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
50603,3,1,2,25,1,,,6,5,2,睡眠LV3,6,,,,,,,,,,,,,,,,,0.1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
50604,4,1,2,30,1,,,6,5,2,睡眠LV4,6,,,,,,,,,,,,,,,,,0.1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
50605,5,1,2,35,1,,,6,5,2,睡眠LV5,6,,,,,,,,,,,,,,,,,0.1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
50606,6,1,2,40,1,,,6,5,2,睡眠LV6,6,,,,,,,,,,,,,,,,,0.1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
50607,7,1,2,45,1,,,6,5,2,睡眠LV7,6,,,,,,,,,,,,,,,,,0.1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
50608,8,1,2,50,1,,,6,5,2,睡眠LV8,6,,,,,,,,,,,,,,,,,0.1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
50609,9,1,2,55,1,,,6,5,2,睡眠LV9,6,,,,,,,,,,,,,,,,,0.1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
50610,10,1,2,60,1,,,6,5,2,睡眠LV10,6,,,,,,,,,,,,,,,,,0.1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
50701,1,1,2,0,2,,,7,5,1,物攻LV1,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50702,2,1,2,0,2,,,7,5,1,物攻LV2,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50703,3,1,2,0,2,,,7,5,1,物攻LV3,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50704,4,1,2,0,2,,,7,5,1,物攻LV4,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50705,5,1,2,0,2,,,7,5,1,物攻LV5,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50706,6,1,2,0,2,,,7,5,1,物攻LV6,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50707,7,1,2,0,2,,,7,5,1,物攻LV7,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50708,8,1,2,0,2,,,7,5,1,物攻LV8,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50709,9,1,2,0,2,,,7,5,1,物攻LV9,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50710,10,1,2,0,2,,,7,5,1,物攻LV10,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50711,11,11,2,0,2,,,7,5,1,释放者物攻LV1,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50712,12,11,2,0,2,,,7,5,1,释放者物攻LV2,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50713,13,11,2,0,2,,,7,5,1,释放者物攻LV3,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50714,14,11,2,0,2,,,7,5,1,释放者物攻LV4,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50715,15,11,2,0,2,,,7,5,1,释放者物攻LV5,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50716,16,11,2,0,2,,,7,5,1,释放者物攻LV6,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50717,17,11,2,0,2,,,7,5,1,释放者物攻LV7,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50718,18,11,2,0,2,,,7,5,1,释放者物攻LV8,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50719,19,11,2,0,2,,,7,5,1,释放者物攻LV9,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50720,20,11,2,0,2,,,7,5,1,释放者物攻LV10,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50801,1,1,2,0,2,,,8,5,2,物攻降低LV1,,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50802,2,1,2,0,2,,,8,5,2,物攻降低LV2,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50803,3,1,2,0,2,,,8,5,2,物攻降低LV3,,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50804,4,1,2,0,2,,,8,5,2,物攻降低LV4,,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50805,5,1,2,0,2,,,8,5,2,物攻降低LV5,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50806,6,1,2,0,2,,,8,5,2,物攻降低LV6,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50807,7,1,2,0,2,,,8,5,2,物攻降低LV7,,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50808,8,1,2,0,2,,,8,5,2,物攻降低LV8,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50809,9,1,2,0,2,,,8,5,2,物攻降低LV9,,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50810,10,1,2,0,2,,,8,5,2,物攻降低LV10,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50901,1,1,2,0,2,,,9,5,1,特攻LV1,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50902,2,1,2,0,2,,,9,5,1,特攻LV2,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50903,3,1,2,0,2,,,9,5,1,特攻LV3,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50904,4,1,2,0,2,,,9,5,1,特攻LV4,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50905,5,1,2,0,2,,,9,5,1,特攻LV5,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50906,6,1,2,0,2,,,9,5,1,特攻LV6,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50907,7,1,2,0,2,,,9,5,1,特攻LV7,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50908,8,1,2,0,2,,,9,5,1,特攻LV8,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50909,9,1,2,0,2,,,9,5,1,特攻LV9,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50910,10,11,2,0,2,,,9,5,1,特攻LV10,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50911,11,11,2,0,2,,,9,5,1,释放者特攻LV1,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50912,12,11,2,0,2,,,9,5,1,释放者特攻LV2,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50913,13,11,2,0,2,,,9,5,1,释放者特攻LV3,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50914,14,11,2,0,2,,,9,5,1,释放者特攻LV4,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50915,15,11,2,0,2,,,9,5,1,释放者特攻LV5,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50916,16,11,2,0,2,,,9,5,1,释放者特攻LV6,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50917,17,11,2,0,2,,,9,5,1,释放者特攻LV7,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50918,18,11,2,0,2,,,9,5,1,释放者特攻LV8,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50919,19,11,2,0,2,,,9,5,1,释放者特攻LV9,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50920,20,11,2,0,2,,,9,5,1,释放者特攻LV10,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51001,1,1,2,0,2,,,10,5,2,,,,,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51002,2,1,2,0,2,,,10,5,2,,,,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51003,3,1,2,0,2,,,10,5,2,,,,,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51004,4,1,2,0,2,,,10,5,2,,,,,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51005,5,1,2,0,2,,,10,5,2,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51006,6,1,2,0,2,,,10,5,2,,,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51007,7,1,2,0,2,,,10,5,2,,,,,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51008,8,1,2,0,2,,,10,5,2,,,,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51009,9,1,2,0,2,,,10,5,2,,,,,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51010,10,1,2,0,2,,,10,5,2,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51101,1,1,2,0,2,,,11,5,1,物防LV1,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51102,2,1,2,0,2,,,11,5,1,物防LV2,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51103,3,1,2,0,2,,,11,5,1,物防LV3,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51104,4,1,2,0,2,,,11,5,1,物防LV4,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51105,5,1,2,0,2,,,11,5,1,物防LV5,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51106,6,1,2,0,2,,,11,5,1,物防LV6,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51107,7,1,2,0,2,,,11,5,1,物防LV7,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51108,8,1,2,0,2,,,11,5,1,物防LV8,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51109,9,1,2,0,2,,,11,5,1,物防LV9,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51110,10,11,2,0,2,,,11,5,1,物防LV10,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51111,11,11,2,0,2,,,11,5,1,释放者物防LV1,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51112,12,11,2,0,2,,,11,5,1,释放者物防LV2,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51113,13,11,2,0,2,,,11,5,1,释放者物防LV3,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51114,14,11,2,0,2,,,11,5,1,释放者物防LV4,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51115,15,11,2,0,2,,,11,5,1,释放者物防LV5,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51116,16,11,2,0,2,,,11,5,1,释放者物防LV6,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51117,17,11,2,0,2,,,11,5,1,释放者物防LV7,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51118,18,11,2,0,2,,,11,5,1,释放者物防LV8,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51119,19,11,2,0,2,,,11,5,1,释放者物防LV9,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51120,20,11,2,0,2,,,11,5,1,释放者物防LV10,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51121,21,11,2,0,2,,,11,5,1,释放者物防LV11,,,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51122,22,11,2,0,2,,,11,5,1,释放者物防LV12,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51123,23,11,2,0,2,,,11,5,1,释放者物防LV13,,,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51124,24,11,2,0,2,,,11,5,1,释放者物防LV14,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51125,25,11,2,0,2,,,11,5,1,释放者物防LV15,,,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51126,26,11,2,0,2,,,11,5,1,释放者物防LV16,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51127,27,11,2,0,2,,,11,5,1,释放者物防LV17,,,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51128,28,11,2,0,2,,,11,5,1,释放者物防LV18,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51129,29,11,2,0,2,,,11,5,1,释放者物防LV19,,,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51130,30,11,2,0,2,,,11,5,1,释放者物防LV20,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51201,1,1,2,0,2,,,12,5,2,,,,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51202,2,1,2,0,2,,,12,5,2,,,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51203,3,1,2,0,2,,,12,5,2,,,,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51204,4,1,2,0,2,,,12,5,2,,,,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51205,5,1,2,0,2,,,12,5,2,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51206,6,1,2,0,2,,,12,5,2,,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51207,7,1,2,0,2,,,12,5,2,,,,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51208,8,1,2,0,2,,,12,5,2,,,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51209,9,1,2,0,2,,,12,5,2,,,,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51210,10,1,2,0,2,,,12,5,2,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51301,1,1,2,0,2,,,13,5,1,特防LV1,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51302,2,1,2,0,2,,,13,5,1,特防LV2,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51303,3,1,2,0,2,,,13,5,1,特防LV3,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51304,4,1,2,0,2,,,13,5,1,特防LV4,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51305,5,1,2,0,2,,,13,5,1,特防LV5,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51306,6,1,2,0,2,,,13,5,1,特防LV6,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51307,7,1,2,0,2,,,13,5,1,特防LV7,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51308,8,1,2,0,2,,,13,5,1,特防LV8,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51309,9,1,2,0,2,,,13,5,1,特防LV9,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51310,10,1,2,0,2,,,13,5,1,特防LV10,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51311,11,11,2,0,2,,,13,5,1,释放者特防LV1,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51312,12,11,2,0,2,,,13,5,1,释放者特防LV2,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
