技能,技能图标,技能名字,注释,注释2,伤害类型（默认0.物理伤害 1.特殊伤害 ）,技能分类（1:单体伤害，2：群体伤害，3：单体治疗，4：群体治疗，5：变化，6弹射，7连击）,威力,命中,技能能量,属性ID（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼 9.普通 10.电 11.虫 12.飞行 13.地面 14.岩石 15.格斗 16.超能 17.钢系 18.毒,技能描述,效果注释（不用处理，策划看）,触发效果(|分割),"作用对象(0.全体,1.目标,2.目标方全体,3.目标方随机单体,4.目标方1人+随机1人，5目标方1人+随机2人，6.目标方1人+随机3人，7目标放1人+随机4人.8.连击1次，9连击2次.10连击3次.11.释放者,12.释放者方全体,13.释放者方随机单体,14.释放者方目标单体 其它.特殊规则待扩展)",蓄力动画,释放时播放在释放者身上的特效资源（群体特效）,释放时从释放者飞向目标的特效资源,释放后播放在目标身上的特效资源，若有resFly，则需要飞行特效飞行到目标身上后播放此特效（单体特效）,"抖屏(0:抖,1:不抖)",释放后的音效资源,释放后技能背景资源,释放后出技能名,每场战斗使用次数限制,"是否预览（1是,2否）"
2086010,2001,舌舔·LV10,单特,,1,1,209,1,60,8,"用长长的舌头攻击敌方1人,造成特殊伤害",,,1,4,,19,1,1,shouji03,,1,,1
2086501,2002,恶梦·LV1,单特,,1,1,130,1,65,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2086502,2002,恶梦·LV2,单特,,1,1,137,1,65,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2086503,2002,恶梦·LV3,单特,,1,1,143,1,65,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2086504,2002,恶梦·LV4,单特,,1,1,150,1,65,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2086505,2002,恶梦·LV5,单特,,1,1,156,1,65,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2086506,2002,恶梦·LV6,单特,,1,1,163,1,65,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2086507,2002,恶梦·LV7,单特,,1,1,186,1,65,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2086508,2002,恶梦·LV8,单特,,1,1,194,1,65,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2086509,2002,恶梦·LV9,单特,,1,1,200,1,65,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2086510,2002,恶梦·LV10,单特,,1,1,227,1,65,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2087001,2002,恶梦·LV1,单特,,1,1,140,1,70,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2087002,2002,恶梦·LV2,单特,,1,1,147,1,70,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2087003,2002,恶梦·LV3,单特,,1,1,154,1,70,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2087004,2002,恶梦·LV4,单特,,1,1,161,1,70,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2087005,2002,恶梦·LV5,单特,,1,1,168,1,70,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2087006,2002,恶梦·LV6,单特,,1,1,175,1,70,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2087007,2002,恶梦·LV7,单特,,1,1,200,1,70,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2087008,2002,恶梦·LV8,单特,,1,1,208,1,70,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2087009,2002,恶梦·LV9,单特,,1,1,216,1,70,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2087010,2002,恶梦·LV10,单特,,1,1,244,1,70,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2087501,2002,恶梦·LV1,单特,,1,1,150,1,75,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2087502,2002,恶梦·LV2,单特,,1,1,158,1,75,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2087503,2002,恶梦·LV3,单特,,1,1,165,1,75,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2087504,2002,恶梦·LV4,单特,,1,1,173,1,75,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2087505,2002,恶梦·LV5,单特,,1,1,180,1,75,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2087506,2002,恶梦·LV6,单特,,1,1,188,1,75,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2087507,2002,恶梦·LV7,单特,,1,1,215,1,75,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2087508,2002,恶梦·LV8,单特,,1,1,223,1,75,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2087509,2002,恶梦·LV9,单特,,1,1,231,1,75,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2087510,2002,恶梦·LV10,单特,,1,1,262,1,75,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2088001,2002,恶梦·LV1,单特,,1,1,160,1,80,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2088002,2002,恶梦·LV2,单特,,1,1,168,1,80,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2088003,2002,恶梦·LV3,单特,,1,1,176,1,80,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2088004,2002,恶梦·LV4,单特,,1,1,184,1,80,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2088005,2002,恶梦·LV5,单特,,1,1,192,1,80,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2088006,2002,恶梦·LV6,单特,,1,1,200,1,80,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2088007,2002,恶梦·LV7,单特,,1,1,229,1,80,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2088008,2002,恶梦·LV8,单特,,1,1,238,1,80,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2088009,2002,恶梦·LV9,单特,,1,1,246,1,80,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2088010,2002,恶梦·LV10,单特,,1,1,278,1,80,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2088501,2002,恶梦·LV1,单特,,1,1,170,1,85,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2088502,2002,恶梦·LV2,单特,,1,1,179,1,85,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2088503,2002,恶梦·LV3,单特,,1,1,187,1,85,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2088504,2002,恶梦·LV4,单特,,1,1,196,1,85,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2088505,2002,恶梦·LV5,单特,,1,1,204,1,85,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2088506,2002,恶梦·LV6,单特,,1,1,213,1,85,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2088507,2002,恶梦·LV7,单特,,1,1,243,1,85,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2088508,2002,恶梦·LV8,单特,,1,1,253,1,85,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2088509,2002,恶梦·LV9,单特,,1,1,262,1,85,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,2
2088510,2002,恶梦·LV10,单特,,1,1,296,1,85,8,"让对手做恶梦,攻击敌方1人,造成特殊伤害",,,1,4,,14,51,0,SkillATT02,1,1,,1
2091501,2101,乱抓·LV1,单特,,1,1,30,1,15,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2091502,2101,乱抓·LV2,单特,,1,1,32,1,15,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2091503,2101,乱抓·LV3,单特,,1,1,33,1,15,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2091504,2101,乱抓·LV4,单特,,1,1,35,1,15,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2091505,2101,乱抓·LV5,单特,,1,1,36,1,15,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2091506,2101,乱抓·LV6,单特,,1,1,38,1,15,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2091507,2101,乱抓·LV7,单特,,1,1,43,1,15,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2091508,2101,乱抓·LV8,单特,,1,1,45,1,15,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2091509,2101,乱抓·LV9,单特,,1,1,46,1,15,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2091510,2101,乱抓·LV10,单特,,1,1,53,1,15,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2092001,2101,乱抓·LV1,单特,,1,1,40,1,20,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2092002,2101,乱抓·LV2,单特,,1,1,42,1,20,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2092003,2101,乱抓·LV3,单特,,1,1,44,1,20,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2092004,2101,乱抓·LV4,单特,,1,1,46,1,20,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2092005,2101,乱抓·LV5,单特,,1,1,48,1,20,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2092006,2101,乱抓·LV6,单特,,1,1,50,1,20,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2092007,2101,乱抓·LV7,单特,,1,1,57,1,20,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2092008,2101,乱抓·LV8,单特,,1,1,59,1,20,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2092009,2101,乱抓·LV9,单特,,1,1,62,1,20,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2092010,2101,乱抓·LV10,单特,,1,1,70,1,20,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2092501,2101,乱抓·LV1,单特,,1,1,50,1,25,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2092502,2101,乱抓·LV2,单特,,1,1,53,1,25,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2092503,2101,乱抓·LV3,单特,,1,1,55,1,25,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2092504,2101,乱抓·LV4,单特,,1,1,58,1,25,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2092505,2101,乱抓·LV5,单特,,1,1,60,1,25,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2092506,2101,乱抓·LV6,单特,,1,1,63,1,25,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2092507,2101,乱抓·LV7,单特,,1,1,72,1,25,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2092508,2101,乱抓·LV8,单特,,1,1,75,1,25,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2092509,2101,乱抓·LV9,单特,,1,1,77,1,25,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2092510,2101,乱抓·LV10,单特,,1,1,88,1,25,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2093001,2101,乱抓·LV1,单特,,1,1,60,1,30,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2093002,2101,乱抓·LV2,单特,,1,1,63,1,30,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2093003,2101,乱抓·LV3,单特,,1,1,66,1,30,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2093004,2101,乱抓·LV4,单特,,1,1,69,1,30,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2093005,2101,乱抓·LV5,单特,,1,1,72,1,30,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2093006,2101,乱抓·LV6,单特,,1,1,75,1,30,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2093007,2101,乱抓·LV7,单特,,1,1,86,1,30,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2093008,2101,乱抓·LV8,单特,,1,1,89,1,30,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2093009,2101,乱抓·LV9,单特,,1,1,92,1,30,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2093010,2101,乱抓·LV10,单特,,1,1,104,1,30,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2093501,2101,乱抓·LV1,单特,,1,1,70,1,35,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2093502,2101,乱抓·LV2,单特,,1,1,74,1,35,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2093503,2101,乱抓·LV3,单特,,1,1,77,1,35,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2093504,2101,乱抓·LV4,单特,,1,1,81,1,35,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2093505,2101,乱抓·LV5,单特,,1,1,84,1,35,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2093506,2101,乱抓·LV6,单特,,1,1,88,1,35,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2093507,2101,乱抓·LV7,单特,,1,1,100,1,35,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2093508,2101,乱抓·LV8,单特,,1,1,105,1,35,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2093509,2101,乱抓·LV9,单特,,1,1,108,1,35,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,2
2093510,2101,乱抓·LV10,单特,,1,1,122,1,35,9,"用爪子爪击敌方1人,造成特殊伤害",,,1,7,,,84,0,shouji05,1,1,,1
2094001,2101,头槌·LV1,单特,,1,1,80,1,40,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2094002,2101,头槌·LV2,单特,,1,1,84,1,40,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2094003,2101,头槌·LV3,单特,,1,1,88,1,40,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2094004,2101,头槌·LV4,单特,,1,1,92,1,40,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2094005,2101,头槌·LV5,单特,,1,1,96,1,40,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2094006,2101,头槌·LV6,单特,,1,1,100,1,40,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2094007,2101,头槌·LV7,单特,,1,1,114,1,40,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2094008,2101,头槌·LV8,单特,,1,1,119,1,40,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2094009,2101,头槌·LV9,单特,,1,1,123,1,40,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2094010,2101,头槌·LV10,单特,,1,1,139,1,40,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2094501,2101,头槌·LV1,单特,,1,1,90,1,45,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2094502,2101,头槌·LV2,单特,,1,1,95,1,45,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2094503,2101,头槌·LV3,单特,,1,1,99,1,45,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2094504,2101,头槌·LV4,单特,,1,1,104,1,45,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2094505,2101,头槌·LV5,单特,,1,1,108,1,45,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2094506,2101,头槌·LV6,单特,,1,1,113,1,45,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2094507,2101,头槌·LV7,单特,,1,1,129,1,45,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2094508,2101,头槌·LV8,单特,,1,1,134,1,45,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2094509,2101,头槌·LV9,单特,,1,1,139,1,45,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2094510,2101,头槌·LV10,单特,,1,1,157,1,45,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2095001,2101,头槌·LV1,单特,,1,1,100,1,50,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2095002,2101,头槌·LV2,单特,,1,1,105,1,50,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2095003,2101,头槌·LV3,单特,,1,1,110,1,50,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2095004,2101,头槌·LV4,单特,,1,1,115,1,50,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2095005,2101,头槌·LV5,单特,,1,1,120,1,50,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2095006,2101,头槌·LV6,单特,,1,1,125,1,50,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2095007,2101,头槌·LV7,单特,,1,1,143,1,50,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2095008,2101,头槌·LV8,单特,,1,1,149,1,50,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2095009,2101,头槌·LV9,单特,,1,1,154,1,50,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2095010,2101,头槌·LV10,单特,,1,1,174,1,50,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2095501,2101,头槌·LV1,单特,,1,1,110,1,55,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2095502,2101,头槌·LV2,单特,,1,1,116,1,55,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2095503,2101,头槌·LV3,单特,,1,1,121,1,55,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2095504,2101,头槌·LV4,单特,,1,1,127,1,55,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2095505,2101,头槌·LV5,单特,,1,1,132,1,55,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2095506,2101,头槌·LV6,单特,,1,1,138,1,55,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2095507,2101,头槌·LV7,单特,,1,1,157,1,55,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2095508,2101,头槌·LV8,单特,,1,1,164,1,55,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2095509,2101,头槌·LV9,单特,,1,1,169,1,55,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2095510,2101,头槌·LV10,单特,,1,1,192,1,55,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2096001,2101,头槌·LV1,单特,,1,1,120,1,60,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2096002,2101,头槌·LV2,单特,,1,1,126,1,60,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2096003,2101,头槌·LV3,单特,,1,1,132,1,60,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2096004,2101,头槌·LV4,单特,,1,1,138,1,60,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2096005,2101,头槌·LV5,单特,,1,1,144,1,60,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2096006,2101,头槌·LV6,单特,,1,1,150,1,60,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2096007,2101,头槌·LV7,单特,,1,1,172,1,60,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2096008,2101,头槌·LV8,单特,,1,1,178,1,60,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2096009,2101,头槌·LV9,单特,,1,1,185,1,60,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,2
2096010,2101,头槌·LV10,单特,,1,1,209,1,60,9,"用头部猛撞敌方1人,造成特殊伤害",,,1,7,,,81,1,shouji05,,1,,1
2096501,2102,百万吨重拳·LV1,单特,,1,1,130,1,65,9,"用拳头猛击敌方1人,造成特殊伤害",,,1,7,,,82,1,shouji05,,1,,2
2096502,2102,百万吨重拳·LV2,单特,,1,1,137,1,65,9,"用拳头猛击敌方1人,造成特殊伤害",,,1,7,,,82,1,shouji05,,1,,2
2096503,2102,百万吨重拳·LV3,单特,,1,1,143,1,65,9,"用拳头猛击敌方1人,造成特殊伤害",,,1,7,,,82,1,shouji05,,1,,2
2096504,2102,百万吨重拳·LV4,单特,,1,1,150,1,65,9,"用拳头猛击敌方1人,造成特殊伤害",,,1,7,,,82,1,shouji05,,1,,2
2096505,2102,百万吨重拳·LV5,单特,,1,1,156,1,65,9,"用拳头猛击敌方1人,造成特殊伤害",,,1,7,,,82,1,shouji05,,1,,2
2096506,2102,百万吨重拳·LV6,单特,,1,1,163,1,65,9,"用拳头猛击敌方1人,造成特殊伤害",,,1,7,,,82,1,shouji05,,1,,2
2096507,2102,百万吨重拳·LV7,单特,,1,1,186,1,65,9,"用拳头猛击敌方1人,造成特殊伤害",,,1,7,,,82,1,shouji05,,1,,2
2096508,2102,百万吨重拳·LV8,单特,,1,1,194,1,65,9,"用拳头猛击敌方1人,造成特殊伤害",,,1,7,,,82,1,shouji05,,1,,2
2096509,2102,百万吨重拳·LV9,单特,,1,1,200,1,65,9,"用拳头猛击敌方1人,造成特殊伤害",,,1,7,,,82,1,shouji05,,1,,2
2096510,2102,百万吨重拳·LV10,单特,,1,1,227,1,65,9,"用拳头猛击敌方1人,造成特殊伤害",,,1,7,,,82,1,shouji05,,1,,2
2097001,2102,百万吨重拳·LV1,单特,,1,1,140,1,70,9,"用拳头猛击敌方1人,造成特殊伤害",,,1,7,,,82,1,shouji05,,1,,2
2097002,2102,百万吨重拳·LV2,单特,,1,1,147,1,70,9,"用拳头猛击敌方1人,造成特殊伤害",,,1,7,,,82,1,shouji05,,1,,2
2097003,2102,百万吨重拳·LV3,单特,,1,1,154,1,70,9,"用拳头猛击敌方1人,造成特殊伤害",,,1,7,,,82,1,shouji05,,1,,2
2097004,2102,百万吨重拳·LV4,单特,,1,1,161,1,70,9,"用拳头猛击敌方1人,造成特殊伤害",,,1,7,,,82,1,shouji05,,1,,2
