效果ID,注释,火系技能威力百分比,水系技能威力百分比,草系技能威力百分比,妖系技能威力百分比,恶系技能威力百分比,龙系技能威力百分比,冰系技能威力百分比,鬼系技能威力百分比,普通系技能威力,电系技能威力,虫系技能威力,飞行系技能威力,地面系技能威力,岩石系技能威力,格斗系技能威力,超能系技能威力,钢系技能威力,毒系技能威力,暴击伤害百分比,暴击率百分比,命中百分比,闪避百分比,伤害增加百分比,伤害减免百分比,血量百分比,物攻百分比,特攻百分比,物防百分比,特防百分比,速度百分比,血量固定值,物攻固定值,特攻固定值,物防固定值,特防固定值,速度固定值
210173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903,,,
210174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,,,
210175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,,,
210176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936,,,
210177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,,,
210178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,,,
210179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969,,,
210180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,,,
210181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991,,,
210182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,,,
210183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,
210184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,,,
210185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035,,,
210186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2046,,,
210187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2057,,,
210188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2068,,,
210189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2079,,,
210190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2090,,,
210191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2101,,,
210192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2112,,,
210193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2123,,,
210194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2134,,,
210195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2145,,,
210196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2156,,,
210197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2167,,,
210198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2178,,,
210199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2189,,,
210200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,
210201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2211,,,
210202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2222,,,
210203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2233,,,
210204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2244,,,
210205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2255,,,
210206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2266,,,
210207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2277,,,
210208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2288,,,
210209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2299,,,
210210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2310,,,
210211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2321,,,
210212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2332,,,
210213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2343,,,
210214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2354,,,
210215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2365,,,
210216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2376,,,
210217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2387,,,
210218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2398,,,
210219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2409,,,
210220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2420,,,
210221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2431,,,
210222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442,,,
210223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2453,,,
210224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2464,,,
210225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2475,,,
210226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2486,,,
210227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497,,,
210228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2508,,,
210229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2519,,,
210230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2530,,,
210231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2541,,,
210232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2552,,,
210233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2563,,,
210234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2574,,,
210235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2585,,,
210236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2596,,,
210237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2607,,,
210238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2618,,,
210239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2629,,,
210240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2640,,,
210241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2651,,,
210242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2662,,,
210243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2673,,,
210244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2684,,,
210245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2695,,,
210246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2706,,,
210247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2717,,,
210248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2728,,,
210249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2739,,,
210250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,,,
210251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2761,,,
210252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2772,,,
210253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2783,,,
210254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2794,,,
210255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2805,,,
210256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2816,,,
210257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2827,,,
210258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2838,,,
210259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2849,,,
210260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2860,,,
210261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2871,,,
210262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2882,,,
210263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2893,,,
210264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,
210265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2915,,,
210266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2926,,,
210267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2937,,,
210268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2948,,,
210269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2959,,,
210270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2970,,,
210271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2981,,,
210272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2992,,,
210273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3003,,,
210274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3014,,,
210275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3025,,,
210276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3036,,,
210277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3047,,,
210278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3058,,,
210279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3069,,,
210280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3080,,,
210281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3091,,,
210282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3102,,,
210283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3113,,,
210284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3124,,,
210285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3135,,,
210286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3146,,,
210287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3157,,,
210288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3168,,,
210289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3179,,,
210290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3190,,,
210291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3201,,,
210292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3212,,,
210293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3223,,,
210294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3234,,,
210295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3245,,,
210296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3256,,,
210297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3267,,,
210298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3278,,,
210299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3289,,,
210300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,,,
211001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
211002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,
211003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,
211004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,
211005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,
211006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,
211007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,
211008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,
211009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,
211010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,
211011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,
211012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,
211013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,
211014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,
211015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,
211016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,
211017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,,
211018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,,,,
211019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,,,,
211020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,
211021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,,,,
211022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,,,,
211023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,,,,
211024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,,,,
211025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,
211026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,,,,
211027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,,,,
211028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,,,,
211029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,,,,
211030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,,,
211031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,,,,
211032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,,,,
211033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,,,,
211034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,,,,
211035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,,,,
211036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,,,,
211037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,,,,
211038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,,,,
211039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429,,,,
211040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,,,,
211041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,,,,
211042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462,,,,
211043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473,,,,
211044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484,,,,
211045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,,,,
211046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506,,,,
211047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517,,,,
211048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528,,,,
211049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539,,,,
211050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,
211051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561,,,,
211052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572,,,,
211053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583,,,,
211054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,,
211055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605,,,,
211056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616,,,,
211057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627,,,,
211058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,,,,
211059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649,,,,
211060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,,,,
211061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671,,,,
211062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,,,,
211063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693,,,,
211064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,,,,
211065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715,,,,
211066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726,,,,
211067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737,,,,
211068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748,,,,
211069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759,,,,
211070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770,,,,
211071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781,,,,
211072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,,,,
211073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803,,,,
211074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814,,,,
211075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,,,,
211076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836,,,,
211077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847,,,,
211078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858,,,,
211079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869,,,,
211080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,,,,
211081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891,,,,
211082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902,,,,
211083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913,,,,
211084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924,,,,
211085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,,,,
211086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946,,,,
211087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957,,,,
211088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968,,,,
211089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979,,,,
211090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,,,,
211091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,,,,
211092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,,,,
211093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023,,,,
211094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1034,,,,
211095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045,,,,
211096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1056,,,,
211097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067,,,,
211098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078,,,,
211099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1089,,,,
211100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,,,,
211101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111,,,,
211102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122,,,,
211103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133,,,,
211104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144,,,,
211105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,,,,
211106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1166,,,,
211107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177,,,,
211108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1188,,,,
211109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199,,,,
211110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210,,,,
211111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1221,,,,
211112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1232,,,,
211113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1243,,,,
211114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254,,,,
211115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265,,,,
211116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276,,,,
211117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287,,,,
211118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1298,,,,
211119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1309,,,,
211120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320,,,,
211121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1331,,,,
211122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342,,,,
211123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353,,,,
211124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1364,,,,
211125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375,,,,
211126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1386,,,,
211127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1397,,,,
211128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1408,,,,
211129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1419,,,,
211130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430,,,,
211131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1441,,,,
211132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,
211133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1463,,,,
211134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1474,,,,
211135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485,,,,
211136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496,,,,
211137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507,,,,
211138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1518,,,,
211139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529,,,,
211140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1540,,,,
211141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1551,,,,
211142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1562,,,,
211143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1573,,,,
211144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1584,,,,
211145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595,,,,
211146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1606,,,,
211147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1617,,,,
211148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1628,,,,
211149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1639,,,,
211150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,,,,
211151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1661,,,,
211152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672,,,,
211153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1683,,,,
211154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1694,,,,
211155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1705,,,,
211156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716,,,,
211157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1727,,,,
211158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1738,,,,
211159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1749,,,,
211160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1760,,,,
211161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1771,,,,
211162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1782,,,,
211163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1793,,,,
211164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,,,,
211165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1815,,,,
211166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1826,,,,
211167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1837,,,,
211168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848,,,,
211169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1859,,,,
211170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870,,,,
211171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1881,,,,
211172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1892,,,,
211173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903,,,,
211174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914,,,,
211175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925,,,,
211176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936,,,,
211177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,,,,
211178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,,,,
211179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969,,,,
211180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,,,,
211181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991,,,,
211182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,,,,
211183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,
211184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,,,,
211185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035,,,,
211186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2046,,,,
211187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2057,,,,
211188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2068,,,,
211189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2079,,,,
211190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2090,,,,
211191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2101,,,,
211192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2112,,,,
211193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2123,,,,
211194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2134,,,,
211195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2145,,,,
211196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2156,,,,
211197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2167,,,,
211198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2178,,,,
211199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2189,,,,
211200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,
