道具ID,道具名,道具简介,等级限制,品质（道具框颜色）,排序（不对玩家显示，主要用于排序）,道具类型(1.货币 2.可使用的道具 3.一般消耗素材 4.亲密度道具 5.努力值道具 6.进化素材7.捕捉道具8.技能学习道具9.随机道具10.兑换道具11.精灵碎片 12.角色附魔道具 13.神器强化道具 14.家园建筑制作图纸 15.神器制作图纸 16.用于万能碎片兑换的宝可梦碎片),可使用,所属背包（1.道具 2.学习机. 3.材料 4.其他,"获取面板索引：跳转界面编号出现界面(1:挂机界面,2:精灵界面,3:扭蛋,4:竞技场,5:特殊副本,6:通天塔,7:商店,8:狩猎区,9:主城,10:背包,11:公会,12,角色购买界面,13:活动,14:神兽商店,15:充值,16:任务,17:玩家信息,18:vip,19:称号,20:徽章,21:邮件,22:地图选择,23:聊天,24:好友,25:排行榜,26:培养,27:技能,28:性格,29:图鉴,30:装备,31:队形，32:背包,33:升星,34:确认,35:精灵详情,36:快速战斗,37:签到，41：队伍升级 42:亲密度,43:进化,44:努力值,45:个体值,51:宠物商店，40：秘境，51：终生卡，52：成长基金,72:道馆)",包含道具Loot（引用道具掉落表）（lootid;数量|lootid;数量),获得道具（ID;数量｜ID;数量）,参数预留1（类型5.努力值道具 类型4.亲密度经验.类型7.抓捕增加概率 /100 类型8.引用技能id 类型12.附魔经验）,参数预留2（类型5.努力值道具 类型4.亲密度经验.类型7.抓捕增加概率 /100 类型8.引用技能id 类型12.附魔经验）,购买所需物品id,购买价格,物攻,特攻,物防,特防,速度,生命,,,,,,,,,
812033,燕返·Ⅲ,"用以敏捷的动作戏弄对手后进行切斩,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1123003,,,,,,,,,,,,,,,,,,
812034,燕返·Ⅳ,"用以敏捷的动作戏弄对手后进行切斩,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1123004,,,,,,,,,,,,,,,,,,
812035,燕返·Ⅴ,"用以敏捷的动作戏弄对手后进行切斩,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1123005,,,,,,,,,,,,,,,,,,
812036,燕返·Ⅵ,"用以敏捷的动作戏弄对手后进行切斩,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1123006,,,,,,,,,,,,,,,,,,
812037,燕返·Ⅶ,"用以敏捷的动作戏弄对手后进行切斩,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1123007,,,,,,,,,,,,,,,,,,
812038,燕返·Ⅷ,"用以敏捷的动作戏弄对手后进行切斩,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1123008,,,,,,,,,,,,,,,,,,
812039,燕返·Ⅸ,"用以敏捷的动作戏弄对手后进行切斩,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1123009,,,,,,,,,,,,,,,,,,
812040,燕返·Ⅹ,"用以敏捷的动作戏弄对手后进行切斩,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1123010,,,,,,,,,,,,,,,,,,
812041,燕返·Ⅰ,"用以敏捷的动作戏弄对手后进行切斩,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1123501,,,,,,,,,,,,,,,,,,
812042,燕返·Ⅱ,"用以敏捷的动作戏弄对手后进行切斩,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1123502,,,,,,,,,,,,,,,,,,
812043,燕返·Ⅲ,"用以敏捷的动作戏弄对手后进行切斩,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1123503,,,,,,,,,,,,,,,,,,
812044,燕返·Ⅳ,"用以敏捷的动作戏弄对手后进行切斩,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1123504,,,,,,,,,,,,,,,,,,
812045,燕返·Ⅴ,"用以敏捷的动作戏弄对手后进行切斩,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1123505,,,,,,,,,,,,,,,,,,
812046,燕返·Ⅵ,"用以敏捷的动作戏弄对手后进行切斩,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1123506,,,,,,,,,,,,,,,,,,
812047,燕返·Ⅶ,"用以敏捷的动作戏弄对手后进行切斩,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1123507,,,,,,,,,,,,,,,,,,
812048,燕返·Ⅷ,"用以敏捷的动作戏弄对手后进行切斩,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1123508,,,,,,,,,,,,,,,,,,
812049,燕返·Ⅸ,"用以敏捷的动作戏弄对手后进行切斩,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1123509,,,,,,,,,,,,,,,,,,
812050,燕返·Ⅹ,"用以敏捷的动作戏弄对手后进行切斩,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1123510,,,,,,,,,,,,,,,,,,
812051,勇鸟猛攻·Ⅰ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1124001,,,,,,,,,,,,,,,,,,
812052,勇鸟猛攻·Ⅱ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1124002,,,,,,,,,,,,,,,,,,
812053,勇鸟猛攻·Ⅲ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1124003,,,,,,,,,,,,,,,,,,
812054,勇鸟猛攻·Ⅳ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1124004,,,,,,,,,,,,,,,,,,
812055,勇鸟猛攻·Ⅴ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1124005,,,,,,,,,,,,,,,,,,
812056,勇鸟猛攻·Ⅵ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1124006,,,,,,,,,,,,,,,,,,
812057,勇鸟猛攻·Ⅶ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1124007,,,,,,,,,,,,,,,,,,
812058,勇鸟猛攻·Ⅷ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1124008,,,,,,,,,,,,,,,,,,
812059,勇鸟猛攻·Ⅸ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1124009,,,,,,,,,,,,,,,,,,
812060,勇鸟猛攻·Ⅹ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1124010,,,,,,,,,,,,,,,,,,
812061,勇鸟猛攻·Ⅰ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1124501,,,,,,,,,,,,,,,,,,
812062,勇鸟猛攻·Ⅱ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1124502,,,,,,,,,,,,,,,,,,
812063,勇鸟猛攻·Ⅲ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1124503,,,,,,,,,,,,,,,,,,
812064,勇鸟猛攻·Ⅳ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1124504,,,,,,,,,,,,,,,,,,
812065,勇鸟猛攻·Ⅴ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1124505,,,,,,,,,,,,,,,,,,
812066,勇鸟猛攻·Ⅵ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1124506,,,,,,,,,,,,,,,,,,
812067,勇鸟猛攻·Ⅶ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1124507,,,,,,,,,,,,,,,,,,
812068,勇鸟猛攻·Ⅷ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1124508,,,,,,,,,,,,,,,,,,
812069,勇鸟猛攻·Ⅸ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1124509,,,,,,,,,,,,,,,,,,
812070,勇鸟猛攻·Ⅹ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1124510,,,,,,,,,,,,,,,,,,
812071,勇鸟猛攻·Ⅰ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1125001,,,,,,,,,,,,,,,,,,
812072,勇鸟猛攻·Ⅱ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1125002,,,,,,,,,,,,,,,,,,
812073,勇鸟猛攻·Ⅲ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1125003,,,,,,,,,,,,,,,,,,
812074,勇鸟猛攻·Ⅳ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1125004,,,,,,,,,,,,,,,,,,
812075,勇鸟猛攻·Ⅴ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1125005,,,,,,,,,,,,,,,,,,
812076,勇鸟猛攻·Ⅵ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1125006,,,,,,,,,,,,,,,,,,
812077,勇鸟猛攻·Ⅶ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1125007,,,,,,,,,,,,,,,,,,
812078,勇鸟猛攻·Ⅷ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1125008,,,,,,,,,,,,,,,,,,
812079,勇鸟猛攻·Ⅸ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1125009,,,,,,,,,,,,,,,,,,
812080,勇鸟猛攻·Ⅹ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1125010,,,,,,,,,,,,,,,,,,
812081,勇鸟猛攻·Ⅰ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1125501,,,,,,,,,,,,,,,,,,
812082,勇鸟猛攻·Ⅱ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1125502,,,,,,,,,,,,,,,,,,
812083,勇鸟猛攻·Ⅲ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1125503,,,,,,,,,,,,,,,,,,
812084,勇鸟猛攻·Ⅳ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1125504,,,,,,,,,,,,,,,,,,
812085,勇鸟猛攻·Ⅴ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1125505,,,,,,,,,,,,,,,,,,
812086,勇鸟猛攻·Ⅵ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1125506,,,,,,,,,,,,,,,,,,
812087,勇鸟猛攻·Ⅶ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1125507,,,,,,,,,,,,,,,,,,
812088,勇鸟猛攻·Ⅷ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1125508,,,,,,,,,,,,,,,,,,
812089,勇鸟猛攻·Ⅸ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1125509,,,,,,,,,,,,,,,,,,
812090,勇鸟猛攻·Ⅹ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1125510,,,,,,,,,,,,,,,,,,
812091,勇鸟猛攻·Ⅰ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1126001,,,,,,,,,,,,,,,,,,
812092,勇鸟猛攻·Ⅱ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1126002,,,,,,,,,,,,,,,,,,
812093,勇鸟猛攻·Ⅲ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1126003,,,,,,,,,,,,,,,,,,
812094,勇鸟猛攻·Ⅳ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1126004,,,,,,,,,,,,,,,,,,
812095,勇鸟猛攻·Ⅴ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1126005,,,,,,,,,,,,,,,,,,
812096,勇鸟猛攻·Ⅵ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1126006,,,,,,,,,,,,,,,,,,
812097,勇鸟猛攻·Ⅶ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1126007,,,,,,,,,,,,,,,,,,
812098,勇鸟猛攻·Ⅷ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1126008,,,,,,,,,,,,,,,,,,
812099,勇鸟猛攻·Ⅸ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1126009,,,,,,,,,,,,,,,,,,
812100,勇鸟猛攻·Ⅹ,"收拢翅膀，通过低空飞行突击对手,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1126010,,,,,,,,,,,,,,,,,,
812101,神鸟猛击·Ⅰ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1126501,,,,,,,,,,,,,,,,,,
812102,神鸟猛击·Ⅱ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1126502,,,,,,,,,,,,,,,,,,
812103,神鸟猛击·Ⅲ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1126503,,,,,,,,,,,,,,,,,,
812104,神鸟猛击·Ⅳ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1126504,,,,,,,,,,,,,,,,,,
812105,神鸟猛击·Ⅴ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1126505,,,,,,,,,,,,,,,,,,
812106,神鸟猛击·Ⅵ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1126506,,,,,,,,,,,,,,,,,,
812107,神鸟猛击·Ⅶ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1126507,,,,,,,,,,,,,,,,,,
812108,神鸟猛击·Ⅷ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1126508,,,,,,,,,,,,,,,,,,
812109,神鸟猛击·Ⅸ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1126509,,,,,,,,,,,,,,,,,,
812110,神鸟猛击·Ⅹ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1126510,,,,,,,,,,,,,,,,,,
812111,神鸟猛击·Ⅰ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1127001,,,,,,,,,,,,,,,,,,
812112,神鸟猛击·Ⅱ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1127002,,,,,,,,,,,,,,,,,,
812113,神鸟猛击·Ⅲ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1127003,,,,,,,,,,,,,,,,,,
812114,神鸟猛击·Ⅳ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1127004,,,,,,,,,,,,,,,,,,
812115,神鸟猛击·Ⅴ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1127005,,,,,,,,,,,,,,,,,,
812116,神鸟猛击·Ⅵ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1127006,,,,,,,,,,,,,,,,,,
812117,神鸟猛击·Ⅶ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1127007,,,,,,,,,,,,,,,,,,
812118,神鸟猛击·Ⅷ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1127008,,,,,,,,,,,,,,,,,,
812119,神鸟猛击·Ⅸ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1127009,,,,,,,,,,,,,,,,,,
812120,神鸟猛击·Ⅹ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1127010,,,,,,,,,,,,,,,,,,
812121,神鸟猛击·Ⅰ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1127501,,,,,,,,,,,,,,,,,,
812122,神鸟猛击·Ⅱ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1127502,,,,,,,,,,,,,,,,,,
812123,神鸟猛击·Ⅲ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1127503,,,,,,,,,,,,,,,,,,
812124,神鸟猛击·Ⅳ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1127504,,,,,,,,,,,,,,,,,,
812125,神鸟猛击·Ⅴ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1127505,,,,,,,,,,,,,,,,,,
812126,神鸟猛击·Ⅵ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1127506,,,,,,,,,,,,,,,,,,
812127,神鸟猛击·Ⅶ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1127507,,,,,,,,,,,,,,,,,,
812128,神鸟猛击·Ⅷ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1127508,,,,,,,,,,,,,,,,,,
812129,神鸟猛击·Ⅸ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1127509,,,,,,,,,,,,,,,,,,
812130,神鸟猛击·Ⅹ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1127510,,,,,,,,,,,,,,,,,,
812131,神鸟猛击·Ⅰ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1128001,,,,,,,,,,,,,,,,,,
812132,神鸟猛击·Ⅱ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1128002,,,,,,,,,,,,,,,,,,
812133,神鸟猛击·Ⅲ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1128003,,,,,,,,,,,,,,,,,,
812134,神鸟猛击·Ⅳ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1128004,,,,,,,,,,,,,,,,,,
812135,神鸟猛击·Ⅴ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1128005,,,,,,,,,,,,,,,,,,
812136,神鸟猛击·Ⅵ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1128006,,,,,,,,,,,,,,,,,,
812137,神鸟猛击·Ⅶ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1128007,,,,,,,,,,,,,,,,,,
812138,神鸟猛击·Ⅷ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1128008,,,,,,,,,,,,,,,,,,
812139,神鸟猛击·Ⅸ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1128009,,,,,,,,,,,,,,,,,,
812140,神鸟猛击·Ⅹ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1128010,,,,,,,,,,,,,,,,,,
812141,神鸟猛击·Ⅰ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1128501,,,,,,,,,,,,,,,,,,
812142,神鸟猛击·Ⅱ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,1,1,8,0,2,57,,,1128502,,,,,,,,,,,,,,,,,,
812143,神鸟猛击·Ⅲ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1128503,,,,,,,,,,,,,,,,,,
812144,神鸟猛击·Ⅳ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,2,1,8,0,2,57,,,1128504,,,,,,,,,,,,,,,,,,
812145,神鸟猛击·Ⅴ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1128505,,,,,,,,,,,,,,,,,,
812146,神鸟猛击·Ⅵ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,3,1,8,0,2,57,,,1128506,,,,,,,,,,,,,,,,,,
812147,神鸟猛击·Ⅶ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1128507,,,,,,,,,,,,,,,,,,
812148,神鸟猛击·Ⅷ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,4,1,8,0,2,57,,,1128508,,,,,,,,,,,,,,,,,,
812149,神鸟猛击·Ⅸ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1128509,,,,,,,,,,,,,,,,,,
812150,神鸟猛击·Ⅹ,"变身超幻大鸟突击,攻击敌方1人,造成物理伤害",,5,1,8,0,2,57,,,1128510,,,,,,,,,,,,,,,,,,
812151,空气利刃·Ⅰ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,1,1,8,0,2,57,,,2121501,,,,,,,,,,,,,,,,,,
812152,空气利刃·Ⅱ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,1,1,8,0,2,57,,,2121502,,,,,,,,,,,,,,,,,,
812153,空气利刃·Ⅲ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,2,1,8,0,2,57,,,2121503,,,,,,,,,,,,,,,,,,
812154,空气利刃·Ⅳ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,2,1,8,0,2,57,,,2121504,,,,,,,,,,,,,,,,,,
812155,空气利刃·Ⅴ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,3,1,8,0,2,57,,,2121505,,,,,,,,,,,,,,,,,,
812156,空气利刃·Ⅵ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,3,1,8,0,2,57,,,2121506,,,,,,,,,,,,,,,,,,
812157,空气利刃·Ⅶ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,4,1,8,0,2,57,,,2121507,,,,,,,,,,,,,,,,,,
812158,空气利刃·Ⅷ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,4,1,8,0,2,57,,,2121508,,,,,,,,,,,,,,,,,,
812159,空气利刃·Ⅸ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,5,1,8,0,2,57,,,2121509,,,,,,,,,,,,,,,,,,
812160,空气利刃·Ⅹ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,5,1,8,0,2,57,,,2121510,,,,,,,,,,,,,,,,,,
812161,空气利刃·Ⅰ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,1,1,8,0,2,57,,,2122001,,,,,,,,,,,,,,,,,,
812162,空气利刃·Ⅱ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,1,1,8,0,2,57,,,2122002,,,,,,,,,,,,,,,,,,
812163,空气利刃·Ⅲ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,2,1,8,0,2,57,,,2122003,,,,,,,,,,,,,,,,,,
812164,空气利刃·Ⅳ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,2,1,8,0,2,57,,,2122004,,,,,,,,,,,,,,,,,,
812165,空气利刃·Ⅴ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,3,1,8,0,2,57,,,2122005,,,,,,,,,,,,,,,,,,
812166,空气利刃·Ⅵ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,3,1,8,0,2,57,,,2122006,,,,,,,,,,,,,,,,,,
812167,空气利刃·Ⅶ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,4,1,8,0,2,57,,,2122007,,,,,,,,,,,,,,,,,,
812168,空气利刃·Ⅷ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,4,1,8,0,2,57,,,2122008,,,,,,,,,,,,,,,,,,
812169,空气利刃·Ⅸ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,5,1,8,0,2,57,,,2122009,,,,,,,,,,,,,,,,,,
812170,空气利刃·Ⅹ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,5,1,8,0,2,57,,,2122010,,,,,,,,,,,,,,,,,,
812171,空气利刃·Ⅰ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,1,1,8,0,2,57,,,2122501,,,,,,,,,,,,,,,,,,
812172,空气利刃·Ⅱ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,1,1,8,0,2,57,,,2122502,,,,,,,,,,,,,,,,,,
812173,空气利刃·Ⅲ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,2,1,8,0,2,57,,,2122503,,,,,,,,,,,,,,,,,,
812174,空气利刃·Ⅳ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,2,1,8,0,2,57,,,2122504,,,,,,,,,,,,,,,,,,
812175,空气利刃·Ⅴ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,3,1,8,0,2,57,,,2122505,,,,,,,,,,,,,,,,,,
812176,空气利刃·Ⅵ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,3,1,8,0,2,57,,,2122506,,,,,,,,,,,,,,,,,,
812177,空气利刃·Ⅶ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,4,1,8,0,2,57,,,2122507,,,,,,,,,,,,,,,,,,
812178,空气利刃·Ⅷ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,4,1,8,0,2,57,,,2122508,,,,,,,,,,,,,,,,,,
812179,空气利刃·Ⅸ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,5,1,8,0,2,57,,,2122509,,,,,,,,,,,,,,,,,,
812180,空气利刃·Ⅹ,"用锐利的风切斩对手,攻击敌方1人,造成特殊伤害",,5,1,8,0,2,57,,,2122510,,,,,,,,,,,,,,,,,,
