宝可梦ID,上阵ID,宝可梦名字,宝可梦描述,特性ID,升23456789星消耗道具（道具id；数量分隔）,努力值升阶道具需求（从1升2起，0升1不需要）,技能(技能编号;技能学习等级|技能编号;技能学习等级),血量种族值,物攻种族值,物防种族值,特攻种族值,特防种族值,速度种族值,种族值总和,属性ID（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼 9.普通 10.电 11.虫 12.飞行 13.地面 14.岩石 15.格斗 16.超能 17.钢 18.毒）,副属性（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼 9.普通 10.电 11.虫 12.飞行 13.地面 14.岩石 15.格斗 16.超能 17.钢 18.毒）,品级,稀有星数, 稀有度（最低1，最高100）,进化所需等级,进化所需亲密度等级,进化所需道具,进化前的宝可梦ID,不可进化（0否，1是，默认0）,进化后的宝可梦ID,进化所需货币,特殊进化所需等级(|分隔）,特殊进化所需亲密度等级(|分隔）,特殊进化所需道具(道具id;道具数量|第二个道具id;道具数量:另一个宝可梦进化所需…   ';'分隔id和数量'|'分隔不同的道具':'分隔不同的宝可梦需求）,特殊进化后的宝可梦ID(|分隔）,特殊进化所需货币(；分隔道具id和数量 |分隔不同的宝可梦需求）,升星可用宝可梦,可学习的天赋树,可学习的技能机器id(系ID|系ID),可升最高星数(最高到达星数）,可超进阶的用1,宝可萌声音,孵化时间（单位：分钟）,碎片需求数量,合成消耗金币,宝可萌星级加成,图鉴显示(0不显示，1显示，默认0),默认精灵球
1485,374,席多蓝恩,用十字形的爪子钩住墙壁和洞顶爬来爬去,113,601485;10|601485;20|601485;30|601485;40|601485;50|601485;60|601485;70|601485;80,601485;10|601485;20|601485;30|601485;30|601485;30|601485;50|601485;50|601485;50|601485;70|601485;70|601485;70|601485;90|601485;90|601485;90,2173504;1|3016505;3|4176507;20,91,90,106,130,106,77,600,17,1,4,5,100,,,,,,,,,,,,,,1485,17|1|9,9,,1001,4320,601485;150,2250000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13007
1486,375,雷吉奇卡斯,据说它用特殊的冰山、岩石和熔岩制作出了形似自己的宝可梦,109,601486;10|601486;20|601486;30|601486;40|601486;50|601486;60|601486;70|601486;80,601486;10|601486;20|601486;30|601486;30|601486;30|601486;50|601486;50|601486;50|601486;70|601486;70|601486;70|601486;90|601486;90|601486;90,1076008;1|3148508;3|4178508;20,110,160,110,80,110,100,670,9,,6,5,,,,,,,,,,,,,,,1486,7|14|17|9,9,,1486,20000,601486;200,3000000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,0,13007
1487,376,骑拉帝纳,好吓人的样子。,121,601487;10|601487;20|601487;30|601487;40|601487;50|601487;60|601487;70|601487;80,601487;10|601487;20|601487;30|601487;30|601487;30|601487;50|601487;50|601487;50|601487;70|601487;70|601487;70|601487;90|601487;90|601487;90,1066008;1|2088508;3|4088508;20,150,100,120,100,120,90,680,8,6,6,5,,40,20,12111;2000|12108;600|601487;200,,,301487,1;10000000,,,,,,,1487,8|6|9,9,,1487,20000,601487;200,3000000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,1,13007
1488,377,克雷色利亚,飞行的时候，会从薄纱一样的翅膀中發出闪光粒子，被称为新月的化身,109,601488;10|601488;20|601488;30|601488;40|601488;50|601488;60|601488;70|601488;80,601488;10|601488;20|601488;30|601488;30|601488;30|601488;50|601488;50|601488;50|601488;70|601488;70|601488;70|601488;90|601488;90|601488;90,2166008;1|9001608;3|3165008;20,120,70,120,75,130,85,600,16,,6,5,100,,,,,,,,,,,,,,1488,16||9,9,,1488,20000,601488;200,3000000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,0,13007
1491,378,达克莱伊,传说在无月之夜，它会出现在人类的恶梦之中,109,601491;10|601491;20|601491;30|601491;40|601491;50|601491;60|601491;70|601491;80,601491;10|601491;20|601491;30|601491;30|601491;30|601491;50|601491;50|601491;50|601491;70|601491;70|601491;70|601491;90|601491;90|601491;90,3055008;1|4058508;3|2056008;20,70,90,90,135,90,125,600,5,,6,5,100,,,,,,,,,,,,,,1491,5||9,9,,1491,20000,601491;200,3000000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,0,13007
1492,379,谢米,当它被人类温柔地抱在怀中，感受到感恩之心时，全身的鲜花就会绽放,155,601492;10|601492;20|601492;30|601492;40|601492;50|601492;60|601492;70|601492;80,601492;10|601492;20|601492;30|601492;30|601492;30|601492;50|601492;50|601492;50|601492;70|601492;70|601492;70|601492;90|601492;90|601492;90,3035006;1|4038508;3|3002108;20,100,100,100,100,100,100,600,3,,6,5,100,,,,,,,,,,,,,,1492,3||9,9,,1492,20000,601492;200,3000000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13007
1493,380,阿尔宙斯,从虚无之地的蛋中诞生，之后创造了世界,156,601493;10|601493;20|601493;30|601493;40|601493;50|601493;60|601493;70|601493;80,601493;10|601493;20|601493;30|601493;30|601493;30|601493;50|601493;50|601493;50|601493;70|601493;70|601493;70|601493;90|601493;90|601493;90,1098508;1|4098509;3|2098509;20,120,190,80,190,80,150,810,9,,6,5,,,,,,,,,,,,,,,1493,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,9,,1493,20000,601493;200,3000000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,0,13007
1495,381,藤藤蛇,藤藤蛇是属于草蛇类的草属性宝可梦,1,601497;10|601497;20|601497;30|601497;40|601497;50|601497;60|601497;70|601497;80,601497;10|601497;20|601497;30|601497;30|601497;30|601497;50|601497;50|601497;50|601497;70|601497;70|601497;70|601497;90|601497;90|601497;90,2033502;1|3036503;3|4036505;20,45,45,55,45,55,63,308,3,,2,4,50,10,5,12151;100|12103;30,,,1496,1;100000,,,,,,,1495,3||9,9,,1495,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1496,382,青藤蛇,与它的进化前型态藤藤蛇相似,1,601497;10|601497;20|601497;30|601497;40|601497;50|601497;60|601497;70|601497;80,601497;10|601497;20|601497;30|601497;30|601497;30|601497;50|601497;50|601497;50|601497;70|601497;70|601497;70|601497;90|601497;90|601497;90,2033503;1|3036504;3|4036506;20,60,60,75,60,75,83,413,3,,3,4,70,28,10,12151;350|12152;80|12103;280,1495,,1497,1;1000000,,,,,,,1496,3||9,9,,1496,600,601496;80,1200000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1497,383,君主蛇,君主蛇是一个拥有着长形蛇状浅绿色身躯的宝可梦,1,601497;10|601497;20|601497;30|601497;40|601497;50|601497;60|601497;70|601497;80,601497;10|601497;20|601497;30|601497;30|601497;30|601497;50|601497;50|601497;50|601497;70|601497;70|601497;70|601497;90|601497;90|601497;90,2033504;1|3036505;3|4036507;20,75,75,95,75,95,113,528,3,,4,4,100,,,,1496,,,,,,,,,,1497,3||9,9,,1497,4320,601497;140,2100000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1498,384,暖暖猪,暖暖猪是以猪为原型的宝可梦,2,601500;10|601500;20|601500;30|601500;40|601500;50|601500;60|601500;70|601500;80,601500;10|601500;20|601500;30|601500;30|601500;30|601500;50|601500;50|601500;50|601500;70|601500;70|601500;70|601500;90|601500;90|601500;90,1013502;1|4016503;3|3016505;20,65,63,45,45,45,45,308,1,,2,4,50,10,5,12151;100|12101;30,,,1499,1;100000,,,,,,,1498,1||9,9,,1498,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1499,385,炒炒猪,炒炒猪与原先的进化前身暖暖猪不相同,2,601500;10|601500;20|601500;30|601500;40|601500;50|601500;60|601500;70|601500;80,601500;10|601500;20|601500;30|601500;30|601500;30|601500;50|601500;50|601500;50|601500;70|601500;70|601500;70|601500;90|601500;90|601500;90,1013503;1|4156504;3|3016506;20,90,93,55,70,55,55,418,1,15,3,4,70,28,10,12151;350|12152;80|12101;280|12126;50,1498,,1500,1;1000000,,,,,,,1499,1|15|9,9,,1499,600,601499;80,1200000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1500,386,炎武王,炎武王的颈部围绕着熊熊火焰,2,601500;10|601500;20|601500;30|601500;40|601500;50|601500;60|601500;70|601500;80,601500;10|601500;20|601500;30|601500;30|601500;30|601500;50|601500;50|601500;50|601500;70|601500;70|601500;70|601500;90|601500;90|601500;90,1013504;1|4156505;3|3016507;20,110,123,65,100,65,65,528,1,15,4,4,100,,,,1499,,,,,,,,,,1500,1|15|9,9,,1500,4320,601500;140,2100000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1501,387,水水獭,水水獭是海獭类的宝可梦,3,601503;10|601503;20|601503;30|601503;40|601503;50|601503;60|601503;70|601503;80,601503;10|601503;20|601503;30|601503;30|601503;30|601503;50|601503;50|601503;50|601503;70|601503;70|601503;70|601503;90|601503;90|601503;90,2023502;1|3026503;3|4026505;20,55,55,45,63,45,45,308,2,,2,4,50,10,5,12151;100|12102;30,,,1502,1;100000,,,,,,,1501,2||9,9,,1501,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1502,388,双刃丸,双刃丸是一个酷似忍者的水属性宝可梦,3,601503;10|601503;20|601503;30|601503;40|601503;50|601503;60|601503;70|601503;80,601503;10|601503;20|601503;30|601503;30|601503;30|601503;50|601503;50|601503;50|601503;70|601503;70|601503;70|601503;90|601503;90|601503;90,2023503;1|3026504;3|4026506;20,75,75,60,83,60,60,413,2,,3,4,70,28,10,12151;350|12152;80|12102;280,1501,,1503,1;1000000,,,,,,,1502,2||9,9,,1502,600,601502;80,1200000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1503,389,大剑鬼,大剑鬼是四足蓝色海兽宝可梦,3,601503;10|601503;20|601503;30|601503;40|601503;50|601503;60|601503;70|601503;80,601503;10|601503;20|601503;30|601503;30|601503;30|601503;50|601503;50|601503;50|601503;70|601503;70|601503;70|601503;90|601503;90|601503;90,2023504;1|3026505;3|4026507;20,95,100,85,108,70,70,528,2,,4,4,100,,,,1502,,,,,,,,,,1503,2||9,9,,1503,4320,601503;140,2100000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1506,390,小约克,覆盖着脸部的长毛是高性能雷达。能敏锐地侦查周围的状况。,127,601508;10|601508;20|601508;30|601508;40|601508;50|601508;60|601508;70|601508;80,601508;10|601508;20|601508;30|601508;30|601508;30|601508;50|601508;50|601508;50|601508;70|601508;70|601508;70|601508;90|601508;90|601508;90,1093502;1|4096503;3|3096505;20,45,60,45,25,45,55,275,9,,2,4,20,10,5,12151;100|12109;30,,,1507,1;100000,,,,,,,1506,9||9,9,,1506,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1507,391,哈约克,像斗篷一样覆盖在身上的黑色体毛非常坚硬。可以让它减少受到的伤害。,46,601508;10|601508;20|601508;30|601508;40|601508;50|601508;60|601508;70|601508;80,601508;10|601508;20|601508;30|601508;30|601508;30|601508;50|601508;50|601508;50|601508;70|601508;70|601508;70|601508;90|601508;90|601508;90,1093503;1|4096504;3|3096506;20,65,80,65,35,65,60,370,9,,3,4,50,25,10,12151;300|12152;80|12109;260,1506,,1508,1;1000000,,,,,,,1507,9||9,9,,1507,600,601507;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1508,392,长毛狗,擅长救援海上和山中的遇难者。非常聪明的宝可梦。,46,601508;10|601508;20|601508;30|601508;40|601508;50|601508;60|601508;70|601508;80,601508;10|601508;20|601508;30|601508;30|601508;30|601508;50|601508;50|601508;50|601508;70|601508;70|601508;70|601508;90|601508;90|601508;90,1093504;1|4096505;3|3096507;20,85,110,90,45,90,80,500,9,,4,4,70,,,,1507,,,,,,,,,,1508,9||9,9,,1508,4320,601508;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1517,393,食梦梦,被食梦梦吃掉梦的话醒来时会不记得梦的内容,30,601518;10|601518;20|601518;30|601518;40|601518;50|601518;60|601518;70|601518;80,601518;10|601518;20|601518;30|601518;30|601518;30|601518;50|601518;50|601518;50|601518;70|601518;70|601518;70|601518;90|601518;90|601518;90,2163503;1|3166504;3|4166506;20,76,25,45,67,55,24,292,16,,3,3,50,24,10,12151;300|12152;80|12127;260,,,1518,1;1500000,,,,,,,1517,16||9,9,,1001,600,601517;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1518,394,梦梦蚀,从额头冒出的烟雾里装满了人类和宝可梦们的梦,35,601518;10|601518;20|601518;30|601518;40|601518;50|601518;60|601518;70|601518;80,601518;10|601518;20|601518;30|601518;30|601518;30|601518;50|601518;50|601518;50|601518;70|601518;70|601518;70|601518;90|601518;90|601518;90,2163504;1|3166505;3|4166507;20,116,55,85,107,95,29,487,16,,4,3,80,,,,1517,,,,,,,,,,1518,16||9,9,,1001,4320,601518;110,1650000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1522,395,斑斑马,天空雷雨云密布时就会出现。用鬃毛捕捉雷电，储存电力。,29,601523;10|601523;20|601523;30|601523;40|601523;50|601523;60|601523;70|601523;80,601523;10|601523;20|601523;30|601523;30|601523;30|601523;50|601523;50|601523;50|601523;70|601523;70|601523;70|601523;90|601523;90|601523;90,1103503;1|4106504;3|3106506;20,45,60,32,50,32,76,295,10,,3,4,50,10,5,12151;300|12152;80|12121;260,,,1523,1;1000000,,,,,,,1522,10||9,9,,1522,600,601522;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1523,396,雷电斑马,如同电光般的爆发力。雷电斑马全速奔跑时雷鸣滚滚。,29,601523;10|601523;20|601523;30|601523;40|601523;50|601523;60|601523;70|601523;80,601523;10|601523;20|601523;30|601523;30|601523;30|601523;50|601523;50|601523;50|601523;70|601523;70|601523;70|601523;90|601523;90|601523;90,1103504;1|4106505;3|3106507;20,75,100,63,80,63,116,497,10,,4,4,80,,,,1522,,,,,,,,,,1523,10||9,9,,1523,4320,601523;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1524,397,石丸子,100年前的大地震时，从地裂中被发现。体内拥有能量核心。,32,601526;10|601526;20|601526;30|601526;40|601526;50|601526;60|601526;70|601526;80,601526;10|601526;20|601526;30|601526;30|601526;30|601526;50|601526;50|601526;50|601526;70|601526;70|601526;70|601526;90|601526;90|601526;90,1143502;1|4146503;3|3146505;20,55,75,85,25,25,15,280,14,,2,5,30,10,5,12151;100|12125;30,,,1525,1;100000,,,,,,,1524,14||9,9,,1524,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1525,398,地幔岩,体内容纳不了而漏出的能量凝结成了橙色的结晶。,32,601526;10|601526;20|601526;30|601526;40|601526;50|601526;60|601526;70|601526;80,601526;10|601526;20|601526;30|601526;30|601526;30|601526;50|601526;50|601526;50|601526;70|601526;70|601526;70|601526;90|601526;90|601526;90,1143503;1|4146504;3|3146506;20,70,105,105,50,40,20,390,14,,3,5,60,25,10,12151;300|12152;80|12125;260,1524,,1526,1;1000000,,,,,,,1525,14||9,9,,1525,600,601525;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1526,399,庞岩怪,用生长在身上的橙色结晶吸取太阳能并在体内增幅，最后从嘴中击出。,32,601526;10|601526;20|601526;30|601526;40|601526;50|601526;60|601526;70|601526;80,601526;10|601526;20|601526;30|601526;30|601526;30|601526;50|601526;50|601526;50|601526;70|601526;70|601526;70|601526;90|601526;90|601526;90,1143504;1|4146505;3|3146507;20,85,135,130,60,80,25,515,14,,4,5,80,,,,1525,,,,,,,,,,1526,14||9,9,,1526,4320,601526;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1527,400,滚滚蝙蝠,据说如果身体与它的鼻子接触，留下心形痕迹的话，就会有好事发生,14,601528;10|601528;20|601528;30|601528;40|601528;50|601528;60|601528;70|601528;80,601528;10|601528;20|601528;30|601528;30|601528;30|601528;50|601528;50|601528;50|601528;70|601528;70|601528;70|601528;90|601528;90|601528;90,2163502;1|3126503;3|4166505;20,65,45,43,55,43,72,323,16,12,2,1,30,10,5,12151;100|12127;30,,,1528,1;100000,,,,,,,1527,16|12|9,9,,1001,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1528,401,心蝙蝠,发出连混凝土都能破坏的强力超音波时，尾巴会激烈地振动,14,601528;10|601528;20|601528;30|601528;40|601528;50|601528;60|601528;70|601528;80,601528;10|601528;20|601528;30|601528;30|601528;30|601528;50|601528;50|601528;50|601528;70|601528;70|601528;70|601528;90|601528;90|601528;90,2163503;1|3126504;3|4166506;20,67,57,55,77,55,114,425,16,12,3,1,50,,,,1527,,,,,,,,,,1528,16|12|9,9,,1001,600,601528;80,1200000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1529,402,螺钉地鼠,将双掌上的爪子并拢，并让身体高速旋转的话，就会以迅猛的速度在地里前进。,34,601530;10|601530;20|601530;30|601530;40|601530;50|601530;60|601530;70|601530;80,601530;10|601530;20|601530;30|601530;30|601530;30|601530;50|601530;50|601530;50|601530;70|601530;70|601530;70|601530;90|601530;90|601530;90,2132003;1|4136504;3|3136506;20,60,85,40,30,45,68,328,13,,3,4,50,10,5,12151;300|12152;80|12124;260,,,1530,1;1000000,,,,,,,1529,13||9,9,,1529,600,601529;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1530,403,龙头地鼠,借助变成钢铁的爪子和头上的钻头，不管多厚的铁板都能穿透。,34,601530;10|601530;20|601530;30|601530;40|601530;50|601530;60|601530;70|601530;80,601530;10|601530;20|601530;30|601530;30|601530;30|601530;50|601530;50|601530;50|601530;70|601530;70|601530;70|601530;90|601530;90|601530;90,2132004;1|4176505;3|3136507;20,110,135,60,50,65,88,508,13,17,4,4,70,,,,1529,,,,,,,,,,1530,13|17|9,9,,1530,4320,601530;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1531,404,差不多娃娃,差不多娃娃身体由米色和粉红色组成，瞳孔呈蓝色,74,601531;10|601531;20|601531;30|601531;40|601531;50|601531;60|601531;70|601531;80,601531;10|601531;20|601531;30|601531;30|601531;30|601531;50|601531;50|601531;50|601531;70|601531;70|601531;70|601531;90|601531;90|601531;90,1096004;1|4096505;3|2096006;20,103,60,86,60,86,50,445,9,,4,2,80,40,20,12111;1000|12109;500|601531;100,,,301531,1;10000000,,,,,,,1531,9,9,,1531,4320,601531;110,1650000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13002
1532,405,搬运小匠,总是抱着方材。是会出现在建筑工地帮忙干活的宝可梦。,9,601534;10|601534;20|601534;30|601534;40|601534;50|601534;60|601534;70|601534;80,601534;10|601534;20|601534;30|601534;30|601534;30|601534;50|601534;50|601534;50|601534;70|601534;70|601534;70|601534;90|601534;90|601534;90,1153502;1|4156503;3|3156505;20,75,80,55,25,35,35,305,15,,2,4,20,10,5,12151;100|12126;30,,,1533,1;100000,,,,,,,1532,15||9,9,,1532,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1533,406,铁骨土人,扛着铁材锻炼身体。亮出千锤百炼的筋肉和同伴互相炫耀。,9,601534;10|601534;20|601534;30|601534;40|601534;50|601534;60|601534;70|601534;80,601534;10|601534;20|601534;30|601534;30|601534;30|601534;50|601534;50|601534;50|601534;70|601534;70|601534;70|601534;90|601534;90|601534;90,1153503;1|4156504;3|3156506;20,85,105,85,40,50,40,405,15,,3,4,50,25,10,12151;300|12152;80|12126;260,1532,,1534,1;1000000,,,,,,,1533,15||9,9,,1533,600,601533;60,900000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1534,407,修建老匠,熟练学会了不依赖力量，灵活运用离心力挥舞混凝土的招式。,9,601534;10|601534;20|601534;30|601534;40|601534;50|601534;60|601534;70|601534;80,601534;10|601534;20|601534;30|601534;30|601534;30|601534;50|601534;50|601534;50|601534;70|601534;70|601534;70|601534;90|601534;90|601534;90,1153504;1|4156505;3|3156507;20,105,140,95,55,65,45,505,15,,4,4,70,,,,1533,,,,,,,,,,1534,15||9,9,,1534,4320,601534;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1535,408,圆蝌蚪,圆蝌蚪脸部是米色的，旁边也带有黑色，脸部两旁有类似耳朵部位的半圆状物,73,601537;10|601537;20|601537;30|601537;40|601537;50|601537;60|601537;70|601537;80,601537;10|601537;20|601537;30|601537;30|601537;30|601537;50|601537;50|601537;50|601537;70|601537;70|601537;70|601537;90|601537;90|601537;90,2023502;1|3026503;3|4026505;20,50,50,40,50,40,64,294,2,,2,3,30,10,5,12151;100|12129;30,,,1536,1;50000,,,,,,,1535,2||9,9,,1535,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1536,409,蓝蟾蜍,蓝蟾蜍的脸部从里至外，依序是米色、黑色、紧接着是布满全身的蓝色,73,601537;10|601537;20|601537;30|601537;40|601537;50|601537;60|601537;70|601537;80,601537;10|601537;20|601537;30|601537;30|601537;30|601537;50|601537;50|601537;50|601537;70|601537;70|601537;70|601537;90|601537;90|601537;90,2023503;1|3136504;3|4026506;20,75,65,55,65,55,69,384,2,13,3,3,60,26,10,12151;300|12152;80|12102;260|12124;50,1535,,1537,1;1500000,,,,,,,1536,2|13|9,9,,1536,600,601536;80,1200000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1537,410,蟾蜍王,蟾蜍王申通的主色为蓝色，眼睛是红色的，,119,601537;10|601537;20|601537;30|601537;40|601537;50|601537;60|601537;70|601537;80,601537;10|601537;20|601537;30|601537;30|601537;30|601537;50|601537;50|601537;50|601537;70|601537;70|601537;70|601537;90|601537;90|601537;90,1023504;1|4136505;3|3026507;20,105,95,75,85,75,74,509,2,13,4,3,85,,,,1536,,,,,,,,,,1537,2|13|9,9,,1537,4320,601537;110,1650000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1540,411,虫宝包,虫宝包是一只类似毛毛虫的宝可梦,17,601542;10|601542;20|601542;30|601542;40|601542;50|601542;60|601542;70|601542;80,601542;10|601542;20|601542;30|601542;30|601542;30|601542;50|601542;50|601542;50|601542;70|601542;70|601542;70|601542;90|601542;90|601542;90,1033502;1|4116503;3|3036505;20,45,53,70,40,60,42,310,3,11,2,3,30,10,5,12151;100|12103;30,,,1541,1;50000,,,,,,,1540,3|11|9,9,,1540,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1541,412,宝包茧,宝包茧的身体是黄色的，与它的进化形以及进化前身一样,17,601542;10|601542;20|601542;30|601542;40|601542;50|601542;60|601542;70|601542;80,601542;10|601542;20|601542;30|601542;30|601542;30|601542;50|601542;50|601542;50|601542;70|601542;70|601542;70|601542;90|601542;90|601542;90,1033503;1|4116504;3|3036506;20,55,63,90,50,80,42,380,3,11,3,3,60,26,10,12151;300|12152;100|12103;260|12122;50,1540,,1542,1;1500000,,,,,,,1541,3|11|9,9,,1541,600,601541;60,900000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1542,413,保姆虫,保姆虫的身体呈米黄色，眼睛呈亮红色,17,601542;10|601542;20|601542;30|601542;40|601542;50|601542;60|601542;70|601542;80,601542;10|601542;20|601542;30|601542;30|601542;30|601542;50|601542;50|601542;50|601542;70|601542;70|601542;70|601542;90|601542;90|601542;90,1033504;1|4116505;3|3036507;20,75,103,80,70,80,92,500,3,11,4,3,85,,,,1541,,,,,,,,,,1542,3|11|9,9,,1542,4320,601542;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1543,414,百足蜈蚣,会咬住对手施以剧毒,31,601545;10|601545;20|601545;30|601545;40|601545;50|601545;60|601545;70|601545;80,601545;10|601545;20|601545;30|601545;30|601545;30|601545;50|601545;50|601545;50|601545;70|601545;70|601545;70|601545;90|601545;90|601545;90,1183502;1|4116503;3|3186505;20,30,45,59,30,39,57,260,18,11,2,3,30,10,5,12151;100|12152;40,,,1544,1;100000,,,,,,,1543,18|11|9,9,,1001,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1544,415,车轮球, 平时一动不动，可一旦受袭就会高速旋转奔跑，并用撞击来反击,31,601545;10|601545;20|601545;30|601545;40|601545;50|601545;60|601545;70|601545;80,601545;10|601545;20|601545;30|601545;30|601545;30|601545;50|601545;50|601545;50|601545;70|601545;70|601545;70|601545;90|601545;90|601545;90,1183503;1|4116504;3|3186506;20,40,55,99,40,79,47,360,18,11,3,3,50,24,10,12151;350|12152;80|12129;260|12122;50,1543,,1545,1;1500000,,,,,,,1544,18|11|9,9,,1001,600,601544;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1545,416,蜈蚣王,颈部的爪子嵌入对方体内释放毒素,31,601545;10|601545;20|601545;30|601545;40|601545;50|601545;60|601545;70|601545;80,601545;10|601545;20|601545;30|601545;30|601545;30|601545;50|601545;50|601545;50|601545;70|601545;70|601545;70|601545;90|601545;90|601545;90,1183504;1|4116505;3|3186507;20,60,100,89,55,69,112,485,18,11,4,3,80,,,,1544,,,,,,,,,,1545,18|11|9,9,,1001,4320,601545;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1548,417,百合根娃娃,头上的叶片能很快再生，味道很苦，但咬上一口就能立刻精力充沛,17,601549;10|601549;20|601549;30|601549;40|601549;50|601549;60|601549;70|601549;80,601549;10|601549;20|601549;30|601549;30|601549;30|601549;50|601549;50|601549;50|601549;70|601549;70|601549;70|601549;90|601549;90|601549;90,2032502;1|4036504;3|3036506;20,45,35,50,70,50,30,280,3,,2,5,30,26,10,12151;350|12152;80|12103;260,,,1549,1;1500000,,,,,,,1548,3||9,9,,1548,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1549,418,裙儿小姐,让其开出美丽的花朵相当困难，深受女性喜爱,106,601549;10|601549;20|601549;30|601549;40|601549;50|601549;60|601549;70|601549;80,601549;10|601549;20|601549;30|601549;30|601549;30|601549;50|601549;50|601549;50|601549;70|601549;70|601549;70|601549;90|601549;90|601549;90,2032503;1|4036505;3|3036507;20,100,80,115,70,85,75,525,3,,4,5,85,40,20,12111;1000|12103;500|601549;100,1548,,301549,1;10000000,,,,,,,1549,3||9,9,,1549,4320,601549;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
