自增长id,任务类型(1是每日任务，每日刷新;2是成就任务，只能完成一次 3.引导任务 4.关卡奖励),是否为初始任务(1为初始任务),后置任务(;分割),任务名#加颜色｛0｝读取任务数量列（LimitedNum）,任务描述(文字描述，包含了任务要求文本)#加颜色，｛0｝读取任务数量列（LimitedNum）,"任务要求类别（1.精灵升级次数（1,3) 2. 挑战BOSS次数(1, 3.扭蛋次数(1,2,3) 4.特殊副本通过次数(1,2,3) 5.竞技场胜利次数(1,2,3) 6.战斗力累计(2) 7.获得不同的精灵(2) 8.抓宠中心参加次数(1,3) 9. 爬塔层数(2) 10.通过关卡(2,3) 11.任意精灵到达的星数 12.任意携带品到达的等级数(2) 13.任意1个徽章到达等级数(2) 14.公会捐献次数(1,2) 15.个体值洗练次数(1,3) 16.个体值平均值数(2) 17.地底挑战胜利次数(1,3) 18.获得的角色数(2) 101.进化累计次数(3) 102.1个精灵努力值总数(2) 103.任意1个亲密度等级数(2) 104.任意1个精灵穿戴技能数(3) 105.性格洗练次数(3) 106.阵型升级次数(3) 107.任意精灵穿戴携带品数(3) 108.精灵上阵数(3) 109.使用快速战斗累计次数(3) 110.商店刷新累计次数(1,3) 111.放生精灵个数(1,3) 112.累计签到次数（1,3) 113.加入公会次数（创建或加别人公会都算）(3) 114.使用道具升级亲密度等级（3） 115.使用道具增加努力值点数（3） 116.携带品升级次数（3） 117.技能学习次数(3) 118.切磋或掠夺次数（3） 119.申请添加好友次数（3）120.玩家等级数到达X  130.参加战斗地铁次数大X次 131.战斗地铁等级达到X级 132.捕获小精灵 133.孵蛋 134.称号 135.天赋 136.跟随 137.碎片兑换 138.通过关卡（关卡奖励）",任务要求数量或通过关卡ID(任务要求完成的数量或通过关卡ID),获得活跃度,是否重新记录（填1时，之前做任务的数最多到填1的数据，之后重新记录）,任务奖励1,任务奖励2,任务奖励3,"跳转界面编号(1:挂机界面,2:精灵界面,3:扭蛋,4:竞技场,5:特殊副本,6:通天塔,7:商店,8:狩猎区,9:主城,10:背包,11:公会,12,角色购买界面,13:活动,14:神兽商店,15:充值,16:任务,17:玩家信息,18:vip，22:地图选择，71：战斗地铁)",引导起始id,可见等级（小于此等级，当前任务不可见）,,,,,,,,,,,
512,3,,513,进入{0}次狩猎场,进入{0}次狩猎场,8,2,,1,1;24800,,,22,221,,,,,,,,,,,,
513,3,,514,放生{0}个宠物,放生{0}个宠物,111,20,,1,6;70,,,2,241,,,,,,,,,,,,
514,3,,515,刷新{0}次商店,刷新{0}次商店,110,6,,1,6;70,,,1,161,,,,,,,,,,,,
515,3,,516,到达第{0}关,到达第{0}关,10,1570,,,3;18300,,,1,1,,,,,,,,,,,,
516,3,,517,精灵累计达到{0}级,精灵累计升{0}级,1,1360,,,3;18500,,,2,11,,,,,,,,,,,,
517,3,,518,参加{0}次特殊副本,参加{0}次特殊副本,4,10,,1,12301;2,,,5,,,,,,,,,,,,,
518,3,,519,亲密度升级{0}次,喂养亲密度升级{0}次,114,10,,1,6;20,,,2,21,,,,,,,,,,,,
519,3,,520,个体值洗练{0}次,个体值洗练{0}次,15,5,,1,1;25200,,,2,,,,,,,,,,,,,
520,3,,521,到达第{0}关,到达第{0}关,10,1600,,,3;18700,,,1,1,,,,,,,,,,,,
521,3,,522,精灵累计达到{0}级,精灵累计升{0}级,1,1390,,,3;18900,,,2,11,,,,,,,,,,,,
522,3,,523,竞技场胜利{0}次,竞技场胜利{0}次,5,13,,1,5;50,,,9,191,,,,,,,,,,,,
523,3,,524,刷新{0}次商店,刷新{0}次商店,110,6,,1,6;75,,,1,161,,,,,,,,,,,,
524,3,,525,提升努力值{0}点,使用道具提升努力值{0}点,115,10,,1,3;19100,,,2,41,,,,,,,,,,,,
525,3,,526,到达第{0}关,到达第{0}关,10,1630,,,1;25600,,,1,1,,,,,,,,,,,,
526,3,,527,精灵累计达到{0}级,精灵累计升{0}级,1,1420,,,6;20,,,2,11,,,,,,,,,,,,
527,3,,528,地底挑战达到{0}次,地底挑战达到{0}层,9,50,,,19001;60,,,9,,,,,,,,,,,,,
528,3,,529,升级{0}次携带品,升级{0}次携带品,116,14,,1,1;26000,,,2,71,,,,,,,,,,,,
529,3,,530,到达第{0}关,到达第{0}关,10,1660,,,3;19300,,,1,1,,,,,,,,,,,,
530,3,,531,精灵累计达到{0}级,精灵累计升{0}级,1,1450,,,3;19500,,,2,11,,,,,,,,,,,,
531,3,,532,进入{0}次狩猎场,进入{0}次狩猎场,8,2,,1,1;26400,,,22,221,,,,,,,,,,,,
532,3,,533,放生{0}个宠物,放生{0}个宠物,111,25,,1,6;75,,,2,241,,,,,,,,,,,,
533,3,,534,刷新{0}次商店,刷新{0}次商店,110,7,,1,6;75,,,1,161,,,,,,,,,,,,
534,3,,535,到达第{0}关,到达第{0}关,10,1690,,,3;19700,,,1,1,,,,,,,,,,,,
535,3,,536,精灵累计达到{0}级,精灵累计升{0}级,1,1480,,,6;20,,,2,11,,,,,,,,,,,,
536,3,,537,参加{0}次特殊副本,参加{0}次特殊副本,4,11,,1,12301;2,,,5,,,,,,,,,,,,,
537,3,,538,亲密度升级{0}次,喂养亲密度升级{0}次,114,11,,1,1;26800,,,2,21,,,,,,,,,,,,
538,3,,539,个体值洗练{0}次,个体值洗练{0}次,15,10,,1,3;19900,,,2,,,,,,,,,,,,,
539,3,,540,到达第{0}关,到达第{0}关,10,1720,,,3;20100,,,1,1,,,,,,,,,,,,
540,3,,541,精灵累计达到{0}级,精灵累计升{0}级,1,1510,,,6;20,,,2,11,,,,,,,,,,,,
541,3,,542,竞技场胜利{0}次,竞技场胜利{0}次,5,13,,1,5;50,,,9,191,,,,,,,,,,,,
542,3,,543,刷新{0}次商店,刷新{0}次商店,110,7,,1,6;75,,,1,161,,,,,,,,,,,,
543,3,,544,提升努力值{0}点,使用道具提升努力值{0}点,115,11,,1,3;20400,,,2,41,,,,,,,,,,,,
544,3,,545,到达第{0}关,到达第{0}关,10,1750,,,1;27200,,,1,1,,,,,,,,,,,,
545,3,,546,精灵累计达到{0}级,精灵累计升{0}级,1,1540,,,1;27600,,,2,11,,,,,,,,,,,,
546,3,,547,地底挑战达到{0}次,地底挑战达到{0}层,9,51,,,19001;70,,,9,,,,,,,,,,,,,
547,3,,548,升级{0}次携带品,升级{0}次携带品,116,16,,1,3;20700,,,2,71,,,,,,,,,,,,
548,3,,549,到达第{0}关,到达第{0}关,10,1780,,,3;21000,,,1,1,,,,,,,,,,,,
549,3,,550,精灵累计达到{0}级,精灵累计升{0}级,1,1570,,,6;20,,,2,11,,,,,,,,,,,,
550,3,,551,进入{0}次狩猎场,进入{0}次狩猎场,8,2,,1,1;28000,,,22,221,,,,,,,,,,,,
551,3,,552,放生{0}个宠物,放生{0}个宠物,111,25,,1,6;75,,,2,241,,,,,,,,,,,,
552,3,,553,刷新{0}次商店,刷新{0}次商店,110,7,,1,6;80,,,1,161,,,,,,,,,,,,
553,3,,554,到达第{0}关,到达第{0}关,10,1810,,,3;21300,,,1,1,,,,,,,,,,,,
554,3,,555,精灵累计达到{0}级,精灵累计升{0}级,1,1600,,,1;28400,,,2,11,,,,,,,,,,,,
555,3,,556,参加{0}次特殊副本,参加{0}次特殊副本,4,11,,1,12301;2,,,5,,,,,,,,,,,,,
556,3,,557,亲密度升级{0}次,喂养亲密度升级{0}次,114,11,,1,3;21600,,,2,21,,,,,,,,,,,,
557,3,,558,个体值洗练{0}次,个体值洗练{0}次,15,15,,1,6;20,,,2,,,,,,,,,,,,,
558,3,,559,到达第{0}关,到达第{0}关,10,1840,,,3;21900,,,1,1,,,,,,,,,,,,
559,3,,560,精灵累计达到{0}级,精灵累计升{0}级,1,1630,,,1;28800,,,2,11,,,,,,,,,,,,
560,3,,561,竞技场胜利{0}次,竞技场胜利{0}次,5,14,,1,5;50,,,9,191,,,,,,,,,,,,
561,3,,562,刷新{0}次商店,刷新{0}次商店,110,7,,1,6;80,,,1,161,,,,,,,,,,,,
562,3,,563,提升努力值{0}点,使用道具提升努力值{0}点,115,11,,1,3;22200,,,2,41,,,,,,,,,,,,
563,3,,564,到达第{0}关,到达第{0}关,10,1870,,,1;29300,,,1,1,,,,,,,,,,,,
564,3,,565,精灵累计达到{0}级,精灵累计升{0}级,1,1660,,,3;22500,,,2,11,,,,,,,,,,,,
565,3,,566,地底挑战达到{0}次,地底挑战达到{0}层,9,52,,,19001;70,,,9,,,,,,,,,,,,,
566,3,,567,升级{0}次携带品,升级{0}次携带品,116,16,,1,6;20,,,2,71,,,,,,,,,,,,
567,3,,568,到达第{0}关,到达第{0}关,10,1900,,,3;22800,,,1,1,,,,,,,,,,,,
568,3,,569,精灵累计达到{0}级,精灵累计升{0}级,1,1690,,,1;29800,,,2,11,,,,,,,,,,,,
569,3,,570,进入{0}次狩猎场,进入{0}次狩猎场,8,2,,1,1;30300,,,22,221,,,,,,,,,,,,
570,3,,571,放生{0}个宠物,放生{0}个宠物,111,25,,1,6;80,,,2,241,,,,,,,,,,,,
571,3,,572,刷新{0}次商店,刷新{0}次商店,110,8,,1,6;80,,,1,161,,,,,,,,,,,,
572,3,,573,到达第{0}关,到达第{0}关,10,1930,,,3;23100,,,1,1,,,,,,,,,,,,
573,3,,574,精灵累计达到{0}级,精灵累计升{0}级,1,1720,,,3;23400,,,2,11,,,,,,,,,,,,
574,3,,575,参加{0}次特殊副本,参加{0}次特殊副本,4,12,,1,12301;2,,,5,,,,,,,,,,,,,
575,3,,576,亲密度升级{0}次,喂养亲密度升级{0}次,114,12,,1,6;20,,,2,21,,,,,,,,,,,,
576,3,,577,个体值洗练{0}次,个体值洗练{0}次,15,20,,1,1;30800,,,2,,,,,,,,,,,,,
577,3,,578,到达第{0}关,到达第{0}关,10,1960,,,3;23700,,,1,1,,,,,,,,,,,,
578,3,,579,精灵累计达到{0}级,精灵累计升{0}级,1,1750,,,3;24000,,,2,11,,,,,,,,,,,,
579,3,,580,竞技场胜利{0}次,竞技场胜利{0}次,5,14,,1,5;50,,,9,191,,,,,,,,,,,,
580,3,,581,刷新{0}次商店,刷新{0}次商店,110,8,,1,6;80,,,1,161,,,,,,,,,,,,
581,3,,582,提升努力值{0}点,使用道具提升努力值{0}点,115,13,,1,3;24300,,,2,41,,,,,,,,,,,,
582,3,,583,到达第{0}关,到达第{0}关,10,1990,,,1;31300,,,1,1,,,,,,,,,,,,
583,3,,584,精灵累计达到{0}级,精灵累计升{0}级,1,1780,,,6;20,,,2,11,,,,,,,,,,,,
584,3,,585,地底挑战达到{0}次,地底挑战达到{0}层,9,53,,,19001;70,,,9,,,,,,,,,,,,,
585,3,,586,升级{0}次携带品,升级{0}次携带品,116,18,,1,1;31800,,,2,71,,,,,,,,,,,,
586,3,,587,到达第{0}关,到达第{0}关,10,2020,,,3;24600,,,1,1,,,,,,,,,,,,
587,3,,588,精灵累计达到{0}级,精灵累计升{0}级,1,1810,,,3;24900,,,2,11,,,,,,,,,,,,
588,3,,589,进入{0}次狩猎场,进入{0}次狩猎场,8,2,,1,1;32300,,,22,221,,,,,,,,,,,,
589,3,,590,放生{0}个宠物,放生{0}个宠物,111,25,,1,6;85,,,2,241,,,,,,,,,,,,
590,3,,591,刷新{0}次商店,刷新{0}次商店,110,8,,1,6;85,,,1,161,,,,,,,,,,,,
591,3,,592,到达第{0}关,到达第{0}关,10,2050,,,3;25200,,,1,1,,,,,,,,,,,,
592,3,,593,精灵累计达到{0}级,精灵累计升{0}级,1,1840,,,6;20,,,2,11,,,,,,,,,,,,
593,3,,594,参加{0}次特殊副本,参加{0}次特殊副本,4,12,,1,12301;2,,,5,,,,,,,,,,,,,
594,3,,595,亲密度升级{0}次,喂养亲密度升级{0}次,114,12,,1,1;32800,,,2,21,,,,,,,,,,,,
595,3,,596,个体值洗练{0}次,个体值洗练{0}次,15,22,,1,3;25500,,,2,,,,,,,,,,,,,
596,3,,597,到达第{0}关,到达第{0}关,10,2080,,,3;25800,,,1,1,,,,,,,,,,,,
597,3,,598,精灵累计达到{0}级,精灵累计升{0}级,1,1870,,,6;20,,,2,11,,,,,,,,,,,,
598,3,,599,竞技场胜利{0}次,竞技场胜利{0}次,5,16,,1,5;50,,,9,191,,,,,,,,,,,,
599,3,,600,刷新{0}次商店,刷新{0}次商店,110,9,,1,6;85,,,1,161,,,,,,,,,,,,
600,3,,601,提升努力值{0}点,使用道具提升努力值{0}点,115,15,,1,3;26100,,,2,41,,,,,,,,,,,,
601,3,,602,到达第{0}关,到达第{0}关,10,2150,,,1;33300,,,1,1,,,,,,,,,,,,
602,3,,603,精灵累计达到{0}级,精灵累计升{0}级,1,1900,,,1;33800,,,2,11,,,,,,,,,,,,
603,3,,604,地底挑战达到{0}次,地底挑战达到{0}层,9,54,,,19001;80,,,9,,,,,,,,,,,,,
604,3,,605,升级{0}次携带品,升级{0}次携带品,116,20,,1,3;26400,,,2,71,,,,,,,,,,,,
605,3,,606,到达第{0}关,到达第{0}关,10,2220,,,3;26700,,,1,1,,,,,,,,,,,,
606,3,,607,精灵累计达到{0}级,精灵累计升{0}级,1,1930,,,6;20,,,2,11,,,,,,,,,,,,
607,3,,608,进入{0}次狩猎场,进入{0}次狩猎场,8,4,,1,1;34300,,,22,221,,,,,,,,,,,,
608,3,,609,放生{0}个宠物,放生{0}个宠物,111,25,,1,6;85,,,2,241,,,,,,,,,,,,
609,3,,610,刷新{0}次商店,刷新{0}次商店,110,10,,1,6;85,,,1,161,,,,,,,,,,,,
610,3,,611,到达第{0}关,到达第{0}关,10,2290,,,3;27000,,,1,1,,,,,,,,,,,,
611,3,,612,精灵累计达到{0}级,精灵累计升{0}级,1,1960,,,1;34800,,,2,11,,,,,,,,,,,,
612,3,,613,参加{0}次特殊副本,参加{0}次特殊副本,4,14,,1,12301;2,,,5,,,,,,,,,,,,,
613,3,,614,亲密度升级{0}次,喂养亲密度升级{0}次,114,14,,1,3;27300,,,2,21,,,,,,,,,,,,
614,3,,615,个体值洗练{0}次,个体值洗练{0}次,15,25,,1,6;20,,,2,,,,,,,,,,,,,
615,3,,616,到达第{0}关,到达第{0}关,10,2360,,,3;27600,,,1,1,,,,,,,,,,,,
616,3,,617,精灵累计达到{0}级,精灵累计升{0}级,1,1990,,,1;35300,,,2,11,,,,,,,,,,,,
617,3,,618,竞技场胜利{0}次,竞技场胜利{0}次,5,18,,1,5;50,,,9,191,,,,,,,,,,,,
618,3,,619,刷新{0}次商店,刷新{0}次商店,110,11,,1,6;90,,,1,161,,,,,,,,,,,,
619,3,,620,提升努力值{0}点,使用道具提升努力值{0}点,115,17,,1,3;27900,,,2,41,,,,,,,,,,,,
620,3,,621,到达第{0}关,到达第{0}关,10,2430,,,1;35800,,,1,1,,,,,,,,,,,,
621,3,,622,精灵累计达到{0}级,精灵累计升{0}级,1,2020,,,3;28200,,,2,11,,,,,,,,,,,,
622,3,,623,地底挑战达到{0}次,地底挑战达到{0}层,9,55,,,19001;80,,,9,,,,,,,,,,,,,
623,3,,624,升级{0}次携带品,升级{0}次携带品,116,22,,1,6;20,,,2,71,,,,,,,,,,,,
624,3,,625,到达第{0}关,到达第{0}关,10,2500,,,3;28500,,,1,1,,,,,,,,,,,,
625,3,,626,精灵累计达到{0}级,精灵累计升{0}级,1,2050,,,1;36400,,,2,11,,,,,,,,,,,,
626,3,,627,进入{0}次狩猎场,进入{0}次狩猎场,8,6,,1,1;37000,,,22,221,,,,,,,,,,,,
627,3,,628,放生{0}个宠物,放生{0}个宠物,111,25,,1,6;90,,,2,241,,,,,,,,,,,,
628,3,,629,刷新{0}次商店,刷新{0}次商店,110,12,,1,6;90,,,1,161,,,,,,,,,,,,
629,3,,630,到达第{0}关,到达第{0}关,10,2570,,,3;28800,,,1,1,,,,,,,,,,,,
630,3,,631,精灵累计达到{0}级,精灵累计升{0}级,1,2080,,,3;29100,,,2,11,,,,,,,,,,,,
631,3,,632,参加{0}次特殊副本,参加{0}次特殊副本,4,16,,1,12301;2,,,5,,,,,,,,,,,,,
632,3,,633,亲密度升级{0}次,喂养亲密度升级{0}次,114,16,,1,6;20,,,2,21,,,,,,,,,,,,
633,3,,634,个体值洗练{0}次,个体值洗练{0}次,15,27,,1,1;37600,,,2,,,,,,,,,,,,,
634,3,,635,到达第{0}关,到达第{0}关,10,2640,,,3;29400,,,1,1,,,,,,,,,,,,
635,3,,636,精灵累计达到{0}级,精灵累计升{0}级,1,2110,,,3;29700,,,2,11,,,,,,,,,,,,
636,3,,637,竞技场胜利{0}次,竞技场胜利{0}次,5,20,,1,5;50,,,9,191,,,,,,,,,,,,
637,3,,638,刷新{0}次商店,刷新{0}次商店,110,13,,1,6;90,,,1,161,,,,,,,,,,,,
638,3,,639,提升努力值{0}点,使用道具提升努力值{0}点,115,19,,1,3;30000,,,2,41,,,,,,,,,,,,
639,3,,640,到达第{0}关,到达第{0}关,10,2710,,,1;38200,,,1,1,,,,,,,,,,,,
640,3,,641,精灵累计达到{0}级,精灵累计升{0}级,1,2140,,,6;20,,,2,11,,,,,,,,,,,,
641,3,,642,地底挑战达到{0}次,地底挑战达到{0}层,9,56,,,19001;80,,,9,,,,,,,,,,,,,
642,3,,643,升级{0}次携带品,升级{0}次携带品,116,24,,1,1;38800,,,2,71,,,,,,,,,,,,
643,3,,644,到达第{0}关,到达第{0}关,10,2780,,,3;30300,,,1,1,,,,,,,,,,,,
644,3,,645,精灵累计达到{0}级,精灵累计升{0}级,1,2170,,,3;30700,,,2,11,,,,,,,,,,,,
645,3,,646,进入{0}次狩猎场,进入{0}次狩猎场,8,8,,1,1;39400,,,22,221,,,,,,,,,,,,
646,3,,647,放生{0}个宠物,放生{0}个宠物,111,25,,1,6;90,,,2,241,,,,,,,,,,,,
647,3,,648,刷新{0}次商店,刷新{0}次商店,110,14,,1,6;95,,,1,161,,,,,,,,,,,,
648,3,,649,到达第{0}关,到达第{0}关,10,2850,,,3;31100,,,1,1,,,,,,,,,,,,
649,3,,650,精灵累计达到{0}级,精灵累计升{0}级,1,2200,,,6;20,,,2,11,,,,,,,,,,,,
650,3,,651,参加{0}次特殊副本,参加{0}次特殊副本,4,18,,1,12301;2,,,5,,,,,,,,,,,,,
651,3,,652,亲密度升级{0}次,喂养亲密度升级{0}次,114,18,,1,1;40000,,,2,21,,,,,,,,,,,,
652,3,,653,个体值洗练{0}次,个体值洗练{0}次,15,29,,1,3;31500,,,2,,,,,,,,,,,,,
653,3,,654,到达第{0}关,到达第{0}关,10,2920,,,3;31900,,,1,1,,,,,,,,,,,,
654,3,,655,精灵累计达到{0}级,精灵累计升{0}级,1,2230,,,6;20,,,2,11,,,,,,,,,,,,
655,3,,656,竞技场胜利{0}次,竞技场胜利{0}次,5,22,,1,5;50,,,9,191,,,,,,,,,,,,
656,3,,657,刷新{0}次商店,刷新{0}次商店,110,15,,1,6;95,,,1,161,,,,,,,,,,,,
657,3,,658,提升努力值{0}点,使用道具提升努力值{0}点,115,21,,1,3;32300,,,2,41,,,,,,,,,,,,
658,3,,659,到达第{0}关,到达第{0}关,10,2990,,,1;40600,,,1,1,,,,,,,,,,,,
659,3,,660,精灵累计达到{0}级,精灵累计升{0}级,1,2260,,,1;41200,,,2,11,,,,,,,,,,,,
660,3,,661,地底挑战达到{0}次,地底挑战达到{0}层,9,57,,,19001;90,,,9,,,,,,,,,,,,,
661,3,,662,升级{0}次携带品,升级{0}次携带品,116,26,,1,3;32700,,,2,71,,,,,,,,,,,,
662,3,,663,到达第{0}关,到达第{0}关,10,3060,,,3;33100,,,1,1,,,,,,,,,,,,
663,3,,664,精灵累计达到{0}级,精灵累计升{0}级,1,2290,,,6;20,,,2,11,,,,,,,,,,,,
664,3,,665,进入{0}次狩猎场,进入{0}次狩猎场,8,10,,1,1;41800,,,22,221,,,,,,,,,,,,
665,3,,666,放生{0}个宠物,放生{0}个宠物,111,25,,1,6;95,,,2,241,,,,,,,,,,,,
666,3,,667,刷新{0}次商店,刷新{0}次商店,110,16,,1,6;95,,,1,161,,,,,,,,,,,,
667,3,,668,到达第{0}关,到达第{0}关,10,3130,,,3;33500,,,1,1,,,,,,,,,,,,
668,3,,669,精灵累计达到{0}级,精灵累计升{0}级,1,2320,,,1;42400,,,2,11,,,,,,,,,,,,
669,3,,670,参加{0}次特殊副本,参加{0}次特殊副本,4,20,,1,12301;2,,,5,,,,,,,,,,,,,
670,3,,671,亲密度升级{0}次,喂养亲密度升级{0}次,114,20,,1,3;33900,,,2,21,,,,,,,,,,,,
671,3,,672,个体值洗练{0}次,个体值洗练{0}次,15,31,,1,6;20,,,2,,,,,,,,,,,,,
672,3,,673,到达第{0}关,到达第{0}关,10,3200,,,3;34300,,,1,1,,,,,,,,,,,,
673,3,,674,精灵累计达到{0}级,精灵累计升{0}级,1,2350,,,1;43000,,,2,11,,,,,,,,,,,,
674,3,,675,竞技场胜利{0}次,竞技场胜利{0}次,5,24,,1,5;50,,,9,191,,,,,,,,,,,,
675,3,,676,刷新{0}次商店,刷新{0}次商店,110,17,,1,6;95,,,1,161,,,,,,,,,,,,
676,3,,677,提升努力值{0}点,使用道具提升努力值{0}点,115,26,,1,3;34700,,,2,41,,,,,,,,,,,,
677,3,,678,到达第{0}关,到达第{0}关,10,3270,,,1;43700,,,1,1,,,,,,,,,,,,
678,3,,679,精灵累计达到{0}级,精灵累计升{0}级,1,2380,,,3;35100,,,2,11,,,,,,,,,,,,
679,3,,680,地底挑战达到{0}次,地底挑战达到{0}层,9,58,,,19001;90,,,9,,,,,,,,,,,,,
680,3,,681,升级{0}次携带品,升级{0}次携带品,116,28,,1,6;20,,,2,71,,,,,,,,,,,,
681,3,,682,到达第{0}关,到达第{0}关,10,3340,,,3;35500,,,1,1,,,,,,,,,,,,
682,3,,683,精灵累计达到{0}级,精灵累计升{0}级,1,2410,,,1;44400,,,2,11,,,,,,,,,,,,
683,3,,684,进入{0}次狩猎场,进入{0}次狩猎场,8,12,,1,1;45100,,,22,221,,,,,,,,,,,,
684,3,,685,放生{0}个宠物,放生{0}个宠物,111,25,,1,6;100,,,2,241,,,,,,,,,,,,
685,3,,686,刷新{0}次商店,刷新{0}次商店,110,18,,1,6;100,,,1,161,,,,,,,,,,,,
686,3,,687,到达第{0}关,到达第{0}关,10,3410,,,3;35900,,,1,1,,,,,,,,,,,,
687,3,,688,精灵累计达到{0}级,精灵累计升{0}级,1,2440,,,3;36300,,,2,11,,,,,,,,,,,,
688,3,,689,参加{0}次特殊副本,参加{0}次特殊副本,4,25,,1,12301;2,,,5,,,,,,,,,,,,,
689,3,,690,亲密度升级{0}次,喂养亲密度升级{0}次,114,22,,1,6;20,,,2,21,,,,,,,,,,,,
690,3,,691,个体值洗练{0}次,个体值洗练{0}次,15,33,,1,1;45800,,,2,,,,,,,,,,,,,
691,3,,692,到达第{0}关,到达第{0}关,10,3480,,,3;36700,,,1,1,,,,,,,,,,,,
692,3,,693,精灵累计达到{0}级,精灵累计升{0}级,1,2470,,,3;37100,,,2,11,,,,,,,,,,,,
693,3,,694,竞技场胜利{0}次,竞技场胜利{0}次,5,26,,1,5;50,,,9,191,,,,,,,,,,,,
694,3,,695,刷新{0}次商店,刷新{0}次商店,110,19,,1,6;100,,,1,161,,,,,,,,,,,,
695,3,,696,提升努力值{0}点,使用道具提升努力值{0}点,115,31,,1,3;37500,,,2,41,,,,,,,,,,,,
696,3,,697,到达第{0}关,到达第{0}关,10,3550,,,1;46500,,,1,1,,,,,,,,,,,,
697,3,,698,精灵累计达到{0}级,精灵累计升{0}级,1,2500,,,6;20,,,2,11,,,,,,,,,,,,
698,3,,699,地底挑战达到{0}次,地底挑战达到{0}层,9,59,,,19001;90,,,9,,,,,,,,,,,,,
699,3,,700,升级{0}次携带品,升级{0}次携带品,116,30,,1,1;47200,,,2,71,,,,,,,,,,,,
700,3,,701,到达第{0}关,到达第{0}关,10,3620,,,3;37900,,,1,1,,,,,,,,,,,,
701,3,,702,精灵累计达到{0}级,精灵累计升{0}级,1,2530,,,3;38300,,,2,11,,,,,,,,,,,,
702,3,,703,进入{0}次狩猎场,进入{0}次狩猎场,8,14,,1,1;47900,,,22,221,,,,,,,,,,,,
703,3,,704,放生{0}个宠物,放生{0}个宠物,111,25,,1,6;100,,,2,241,,,,,,,,,,,,
704,3,,705,刷新{0}次商店,刷新{0}次商店,110,20,,1,6;100,,,1,161,,,,,,,,,,,,
705,3,,706,到达第{0}关,到达第{0}关,10,3690,,,3;38700,,,1,1,,,,,,,,,,,,
706,3,,707,精灵累计达到{0}级,精灵累计升{0}级,1,2560,,,6;20,,,2,11,,,,,,,,,,,,
707,3,,708,参加{0}次特殊副本,参加{0}次特殊副本,4,30,,1,12301;2,,,5,,,,,,,,,,,,,
708,3,,709,亲密度升级{0}次,喂养亲密度升级{0}次,114,24,,1,1;48600,,,2,21,,,,,,,,,,,,
709,3,,710,个体值洗练{0}次,个体值洗练{0}次,15,35,,1,3;39100,,,2,,,,,,,,,,,,,
710,3,,711,到达第{0}关,到达第{0}关,10,3760,,,3;39500,,,1,1,,,,,,,,,,,,
711,3,,712,精灵累计达到{0}级,精灵累计升{0}级,1,2590,,,6;20,,,2,11,,,,,,,,,,,,
712,3,,713,竞技场胜利{0}次,竞技场胜利{0}次,5,28,,1,5;50,,,9,191,,,,,,,,,,,,
713,3,,714,刷新{0}次商店,刷新{0}次商店,110,21,,1,6;105,,,1,161,,,,,,,,,,,,
714,3,,715,提升努力值{0}点,使用道具提升努力值{0}点,115,36,,1,3;39900,,,2,41,,,,,,,,,,,,
715,3,,716,到达第{0}关,到达第{0}关,10,3830,,,1;49300,,,1,1,,,,,,,,,,,,
716,3,,717,精灵累计达到{0}级,精灵累计升{0}级,1,2620,,,1;50000,,,2,11,,,,,,,,,,,,
717,3,,718,地底挑战达到{0}次,地底挑战达到{0}层,9,60,,,19001;100,,,9,,,,,,,,,,,,,
718,3,,719,升级{0}次携带品,升级{0}次携带品,116,35,,1,3;40300,,,2,71,,,,,,,,,,,,
719,3,,720,到达第{0}关,到达第{0}关,10,3900,,,3;40800,,,1,1,,,,,,,,,,,,
720,3,,721,精灵累计达到{0}级,精灵累计升{0}级,1,2650,,,6;20,,,2,11,,,,,,,,,,,,
721,3,,722,进入{0}次狩猎场,进入{0}次狩猎场,8,16,,1,1;50700,,,22,221,,,,,,,,,,,,
722,3,,723,放生{0}个宠物,放生{0}个宠物,111,25,,1,6;105,,,2,241,,,,,,,,,,,,
723,3,,724,刷新{0}次商店,刷新{0}次商店,110,22,,1,6;105,,,1,161,,,,,,,,,,,,
724,3,,725,到达第{0}关,到达第{0}关,10,3970,,,3;41300,,,1,1,,,,,,,,,,,,
725,3,,726,精灵累计达到{0}级,精灵累计升{0}级,1,2680,,,1;51500,,,2,11,,,,,,,,,,,,
726,3,,727,参加{0}次特殊副本,参加{0}次特殊副本,4,35,,1,12301;2,,,5,,,,,,,,,,,,,
727,3,,728,亲密度升级{0}次,喂养亲密度升级{0}次,114,26,,1,3;41800,,,2,21,,,,,,,,,,,,
728,3,,729,个体值洗练{0}次,个体值洗练{0}次,15,37,,1,6;20,,,2,,,,,,,,,,,,,
729,3,,730,到达第{0}关,到达第{0}关,10,4040,,,3;42300,,,1,1,,,,,,,,,,,,
730,3,,731,精灵累计达到{0}级,精灵累计升{0}级,1,2710,,,1;52300,,,2,11,,,,,,,,,,,,
731,3,,732,竞技场胜利{0}次,竞技场胜利{0}次,5,30,,1,5;50,,,9,191,,,,,,,,,,,,
732,3,,733,刷新{0}次商店,刷新{0}次商店,110,23,,1,6;105,,,1,161,,,,,,,,,,,,
733,3,,734,提升努力值{0}点,使用道具提升努力值{0}点,115,41,,1,3;42800,,,2,41,,,,,,,,,,,,
734,3,,735,到达第{0}关,到达第{0}关,10,4110,,,1;53100,,,1,1,,,,,,,,,,,,
