天赋库ID（关联宝可梦的天赋库ID字段）,等级要求（到达了对应等级能解锁3个天赋，玩家可以3选1）,"可学习内容（主动技能ID对应宝可梦技能表，被动技能ID对应特性表，主动技能的格式为1；skillID，被动技能的格式为2；skillID; 等级(可不填,默认0)，每层都有3个，总体格式为：skilltypeID;skillID|skilltypeID;skillID|skilltypeID;skillID）",解锁消耗(道具ID;数量),克制伤害加成（此克制系数，与常量表中克制系数相加）,种族值加成,消耗宠物数量（0为不消耗）
number,number,string,string,double,number,number
talentGroupId,askLv,talentIdArray,costItem,counterDamageAddStar,alladd,count
1533,30,2;1050|2;1018|2;1044,1;1000000|12126;90|6;1000,0.03,2,0
1533,35,3;900102|3;900403|3;900504,1;2000000|12126;150|6;2000,0.04,2,0
1534,20,3;900102|3;900301|3;900001,1;200000|12126;20|6;200,0.01,1,0
1534,25,1;1013506|1;3154506|1;3055006,1;500000|12126;50|6;500,0.02,1,0
1534,30,2;1050|2;1018|2;1044,1;1000000|12126;90|6;1000,0.03,2,0
1534,35,3;900102|3;900403|3;900504,1;2000000|12126;150|6;2000,0.04,2,0
1534,40,1;1017008|1;1164008|1;3157508,1;5000000|12126;220|6;5000,0.08,3,1
1535,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1535,25,1;1182006|1;1025506|1;3135506,1;500000|12102;50|6;500,0.02,1,0
1535,30,2;1049|2;1020|2;1042,1;1000000|12102;90|6;1000,0.03,2,0
1536,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1536,25,1;1182006|1;1025506|1;3135506,1;500000|12102;50|6;500,0.02,1,0
1536,30,2;1049;1|2;1020;1|2;1042;1,1;1000000|12102;90|6;1000,0.03,2,0
1536,35,3;900102|3;900302|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1537,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1537,25,1;1182006|1;1025506|1;3135506,1;500000|12102;50|6;500,0.02,1,0
1537,30,2;1049;2|2;1020;2|2;1042;2,1;1000000|12102;90|6;1000,0.03,2,0
1537,35,3;900102|3;900302|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1537,40,1;1187508|1;3024008|1;1135008,1;5000000|12102;220|6;5000,0.08,3,1
1540,20,3;900101|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
1540,25,1;1183006|1;3034506|1;3115506,1;500000|12103;50|6;500,0.02,1,0
1540,30,2;1025|2;1017|2;1036,1;1000000|12103;90|6;1000,0.03,2,0
1541,20,3;900101|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
1541,25,1;1183006|1;3034506|1;3115506,1;500000|12103;50|6;500,0.02,1,0
1541,30,2;1025;1|2;1017;1|2;1036;1,1;1000000|12103;90|6;1000,0.03,2,0
1541,35,3;900102|3;900302|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1542,20,3;900101|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
1542,25,1;1183006|1;3034506|1;3115506,1;500000|12103;50|6;500,0.02,1,0
1542,30,2;1025;2|2;1017;2|2;1036;2,1;1000000|12103;90|6;1000,0.03,2,0
1542,35,3;900102|3;900302|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1542,40,1;1186008|1;1033008|1;1111508,1;5000000|12103;220|6;5000,0.08,3,1
1543,20,3;900101|3;900301|3;900001,1;200000|12129;20|6;200,0.01,1,0
1543,25,1;3065506|1;3185006|1;3114506,1;500000|12129;50|6;500,0.02,1,0
1543,30,2;1006|2;1018|2;1044,1;1000000|12129;90|6;1000,0.03,2,0
1544,20,3;900101|3;900301|3;900001,1;200000|12129;20|6;200,0.01,1,0
1544,25,1;3065506|1;3185006|1;3114506,1;500000|12129;50|6;500,0.02,1,0
1544,30,2;1006;1|2;1018;1|2;1044;1,1;1000000|12129;90|6;1000,0.03,2,0
1544,35,3;900102|3;900302|3;900504,1;2000000|12129;150|6;2000,0.04,2,0
1545,20,3;900101|3;900301|3;900001,1;200000|12129;20|6;200,0.01,1,0
1545,25,1;3065506|1;3185006|1;3114506,1;500000|12129;50|6;500,0.02,1,0
1545,30,2;1006;2|2;1018;2|2;1044;2,1;1000000|12129;90|6;1000,0.03,2,0
1545,35,3;900102|3;900302|3;900504,1;2000000|12129;150|6;2000,0.04,2,0
1545,40,1;1067008|1;3184508|1;1114008,1;5000000|12129;220|6;5000,0.08,3,1
1548,20,3;900201|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
1548,25,1;1162006|1;3044506|1;2031506,1;500000|12103;50|6;500,0.02,1,0
1548,30,2;1010|2;1019|2;1036,1;1000000|12103;90|6;1000,0.03,2,0
1549,20,3;900101|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
1549,25,1;1162006|1;3044506|1;2031506,1;500000|12103;50|6;500,0.02,1,0
1549,30,2;1010;2|2;1019;2|2;1036;2,1;1000000|12103;90|6;1000,0.03,2,0
1549,35,3;900102|3;900302|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1549,40,1;3167008|1;3047508|1;1035008,1;5000000|12103;220|6;5000,0.08,3,1
1551,20,3;900101|3;900301|3;900001,1;200000|12105;20|6;200,0.01,1,0
1551,25,1;1153506|1;3055506|1;1134006,1;500000|12105;50|6;500,0.02,1,0
1551,30,2;1010|2;1021|2;1042,1;1000000|12105;90|6;1000,0.03,2,0
1552,20,3;900101|3;900301|3;900001,1;200000|12105;20|6;200,0.01,1,0
1552,25,1;1153506|1;3055506|1;1134006,1;500000|12105;50|6;500,0.02,1,0
1552,30,2;1010;1|2;1021;1|2;1042;1,1;1000000|12105;90|6;1000,0.03,2,0
1552,35,3;900102|3;900302|3;900504,1;2000000|12105;150|6;2000,0.04,2,0
1553,20,3;900101|3;900301|3;900001,1;200000|12105;20|6;200,0.01,1,0
1553,25,1;1153506|1;3055506|1;1134006,1;500000|12105;50|6;500,0.02,1,0
1553,30,2;1010;2|2;1021;2|2;1042;2,1;1000000|12105;90|6;1000,0.03,2,0
1553,35,3;900102|3;900302|3;900504,1;2000000|12105;150|6;2000,0.04,2,0
1553,40,1;1156008|1;3058008|1;1134508,1;5000000|12105;220|6;5000,0.08,3,1
1554,20,3;900101|3;900301|3;900001,1;200000|12101;20|6;200,0.01,1,0
1554,25,1;1155006|1;1133506|1;1015006,1;500000|12101;50|6;500,0.02,1,0
1554,30,2;1010;1|2;1015;1|2;1027;1,1;1000000|12101;90|6;1000,0.03,2,0
1554,35,3;900102|3;900302|3;900504,1;2000000|12101;150|6;2000,0.04,2,0
1555,20,3;900101|3;900301|3;900001,1;200000|12101;20|6;200,0.01,1,0
1555,25,1;1155006|1;1133506|1;1015006,1;500000|12101;50|6;500,0.02,1,0
1555,30,2;1010;2|2;1015;2|2;1027;2,1;1000000|12101;90|6;1000,0.03,2,0
1555,35,3;900102|3;900302|3;900504,1;2000000|12101;150|6;2000,0.04,2,0
1555,40,1;3156008|1;1136508|1;1014508,1;5000000|12101;220|6;5000,0.08,3,1
1559,20,3;900101|3;900301|3;900001,1;200000|12105;20|6;200,0.01,1,0
1559,25,1;1012506|1;1053506|1;1151506,1;500000|12105;50|6;500,0.02,1,0
1559,30,2;1016;1|2;1017;1|2;1042;1,1;1000000|12105;90|6;1000,0.03,2,0
1559,35,3;900102|3;900302|3;900504,1;2000000|12105;150|6;2000,0.04,2,0
1560,20,3;900101|3;900301|3;900001,1;200000|12105;20|6;200,0.01,1,0
1560,25,1;1012506|1;1053506|1;1151506,1;500000|12105;50|6;500,0.02,1,0
1560,30,2;1016;2|2;1017;2|2;1042;2,1;1000000|12105;90|6;1000,0.03,2,0
1560,35,3;900102|3;900302|3;900504,1;2000000|12105;150|6;2000,0.04,2,0
1560,40,1;3017008|1;3054508|1;1154508,1;5000000|12105;220|6;5000,0.08,3,1
1562,20,3;900201|3;900301|3;900001,1;200000|12108;20|6;200,0.01,1,0
1562,25,1;4175506|1;2054506|1;2085006,1;500000|12108;50|6;500,0.02,1,0
1562,30,2;1054;1|2;1017;1|2;1027;1,1;1000000|12108;90|6;1000,0.03,2,0
1562,35,3;900202|3;900402|3;900504,1;2000000|12108;150|6;2000,0.04,2,0
1563,20,3;900201|3;900301|3;900001,1;200000|12108;20|6;200,0.01,1,0
1563,25,1;4175506|1;2054506|1;2085006,1;500000|12108;50|6;500,0.02,1,0
1563,30,2;1054;2|2;1017;2|2;1027;2,1;1000000|12108;90|6;1000,0.03,2,0
1563,35,3;900202|3;900402|3;900504,1;2000000|12108;150|6;2000,0.04,2,0
1563,40,1;4178008|1;2058008|1;4086508,1;5000000|12108;220|6;5000,0.08,3,1
1564,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1564,25,1;1051506|1;1025006|1;1142506,1;500000|12102;50|6;500,0.02,1,0
1564,30,2;1010|2;1021|2;1044,1;1000000|12102;90|6;1000,0.03,2,0
1565,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1565,25,1;1051506|1;1025006|1;1142506,1;500000|12102;50|6;500,0.02,1,0
1565,30,2;1010;1|2;1021;1|2;1044;1,1;1000000|12102;90|6;1000,0.03,2,0
1565,35,3;900102|3;900302|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1566,20,3;900102|3;900401|3;900001,1;200000|12125;20|6;200,0.01,1,0
1566,25,1;3014506|1;3174006|1;1125506,1;500000|12125;50|6;500,0.02,1,0
1566,30,2;1032|2;1021|2;1036,1;1000000|12125;90|6;1000,0.03,2,0
1566,35,3;900102|3;900303|3;900504,1;2000000|12125;150|6;2000,0.04,2,0
1567,20,3;900102|3;900401|3;900001,1;200000|12125;20|6;200,0.01,1,0
1567,25,1;3014506|1;3174006|1;1125506,1;500000|12125;50|6;500,0.02,1,0
1567,30,2;1032|2;1021|2;1036,1;1000000|12125;90|6;1000,0.03,2,0
1567,35,3;900102|3;900303|3;900504,1;2000000|12125;150|6;2000,0.04,2,0
1567,40,1;3125008|1;1098008|1;1175008,1;5000000|12125;220|6;5000,0.08,3,1
1568,20,3;900101|3;900301|3;900001,1;200000|12129;20|6;200,0.01,1,0
1568,25,1;1133506|1;1143506|1;1182006,1;500000|12129;50|6;500,0.02,1,0
1568,30,2;1006|2;1019|2;1027,1;1000000|12129;90|6;1000,0.03,2,0
1569,20,3;900101|3;900301|3;900001,1;200000|12129;20|6;200,0.01,1,0
1569,25,1;1133506|1;1143506|1;1182006,1;500000|12129;50|6;500,0.02,1,0
1569,30,2;1006;1|2;1019;1|2;1027;1,1;1000000|12129;90|6;1000,0.03,2,0
1569,35,3;900102|3;900302|3;900504,1;2000000|12129;150|6;2000,0.04,2,0
1570,20,3;900201|3;900301|3;900001,1;200000|12105;20|6;200,0.01,1,0
1570,25,1;2094506|1;2103506|1;4055006,1;500000|12105;50|6;500,0.02,1,0
1570,30,2;1016;1|2;1015;1|2;1026;1,1;1000000|12105;90|6;1000,0.03,2,0
1570,35,3;900202|3;900402|3;900504,1;2000000|12105;150|6;2000,0.04,2,0
1571,20,3;900201|3;900301|3;900001,1;200000|12105;20|6;200,0.01,1,0
1571,25,1;2094506|1;2103506|1;4055006,1;500000|12105;50|6;500,0.02,1,0
1571,30,2;1016;2|2;1015;2|2;1026;2,1;1000000|12105;90|6;1000,0.03,2,0
1571,35,3;900202|3;900402|3;900504,1;2000000|12105;150|6;2000,0.04,2,0
1571,40,1;2095008|1;2104508|1;2052008,1;5000000|12105;220|6;5000,0.08,3,1
1572,20,3;900101|3;900301|3;900001,1;200000|12109;20|6;200,0.01,1,0
1572,25,1;3045006|1;1164506|1;3094006,1;500000|12109;50|6;500,0.02,1,0
1572,30,2;1030;1|2;1018;1|2;1027;1,1;1000000|12109;90|6;1000,0.03,2,0
1572,35,3;900102|3;900302|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
1573,20,3;900101|3;900301|3;900001,1;200000|12109;20|6;200,0.01,1,0
1573,25,1;3045006|1;1164506|1;3094006,1;500000|12109;50|6;500,0.02,1,0
1573,30,2;1030;2|2;1018;2|2;1027;2,1;1000000|12109;90|6;1000,0.03,2,0
1573,35,3;900102|3;900302|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
1573,40,1;1046008|1;1164508|1;1093008,1;5000000|12109;220|6;5000,0.08,3,1
1574,20,3;900201|3;900401|3;900001,1;200000|12127;20|6;200,0.01,1,0
1574,25,1;2051506|1;4074506|1;2164006,1;500000|12127;50|6;500,0.02,1,0
1574,30,2;1048|2;1020|2;1026,1;1000000|12127;90|6;1000,0.03,2,0
1575,20,3;900201|3;900401|3;900001,1;200000|12127;20|6;200,0.01,1,0
1575,25,1;2051506|1;4074506|1;2164006,1;500000|12127;50|6;500,0.02,1,0
1575,30,2;1048;1|2;1020;1|2;1026;1,1;1000000|12127;90|6;1000,0.03,2,0
1575,35,3;900203|3;900403|3;900504,1;2000000|12127;150|6;2000,0.04,2,0
1576,20,3;900201|3;900401|3;900001,1;200000|12127;20|6;200,0.01,1,0
1576,25,1;2051506|1;4074506|1;2164006,1;500000|12127;50|6;500,0.02,1,0
1576,30,2;1048;2|2;1020;2|2;1026;2,1;1000000|12127;90|6;1000,0.03,2,0
1576,35,3;900203|3;900403|3;900504,1;2000000|12127;150|6;2000,0.04,2,0
1576,40,1;2055008|1;4074508|1;2167508,1;5000000|12127;220|6;5000,0.08,3,1
1577,20,3;900201|3;900401|3;900001,1;200000|12127;20|6;200,0.01,1,0
1577,25,1;2074506|1;2104506|1;1161506,1;500000|12127;50|6;500,0.02,1,0
1577,30,2;1048;1|2;1018;1|2;1026;1,1;1000000|12127;90|6;1000,0.03,2,0
1578,20,3;900201|3;900401|3;900001,1;200000|12127;20|6;200,0.01,1,0
1578,25,1;2074506|1;2104506|1;1161506,1;500000|12127;50|6;500,0.02,1,0
1578,30,2;1048;1|2;1018;1|2;1026;1,1;1000000|12127;90|6;1000,0.03,2,0
1578,35,3;900203|3;900302|3;900504,1;2000000|12127;150|6;2000,0.04,2,0
1579,20,3;900201|3;900401|3;900001,1;200000|12127;20|6;200,0.01,1,0
1579,25,1;2074506|1;2104506|1;1161506,1;500000|12127;50|6;500,0.02,1,0
1579,30,2;1048;1|2;1018;1|2;1026;1,1;1000000|12127;90|6;1000,0.03,2,0
1579,35,3;900203|3;900302|3;900504,1;2000000|12127;150|6;2000,0.04,2,0
1579,40,1;4104008|1;2127008|1;4046008,1;5000000|12127;220|6;5000,0.08,3,1
1580,20,3;900101|3;900201|3;900001,1;200000|12102;20|6;200,0.01,1,0
1580,25,1;1165006|1;1024506|1;1122006,1;500000|12102;50|6;500,0.02,1,0
1580,30,2;1049;1|2;1018;1|2;1036;1,1;1000000|12102;90|6;1000,0.03,2,0
1581,20,3;900101|3;900201|3;900001,1;200000|12102;20|6;200,0.01,1,0
1581,25,1;1165006|1;1024506|1;1122006,1;500000|12102;50|6;500,0.02,1,0
1581,30,2;1049;1|2;1018;1|2;1036;1,1;1000000|12102;90|6;1000,0.03,2,0
1581,35,3;900102|3;900203|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1582,20,3;900201|3;900401|3;900001,1;200000|12107;20|6;200,0.01,1,0
1582,25,1;2024506|1;4175506|1;2073506,1;500000|12107;50|6;500,0.02,1,0
1582,30,2;1005|2;1019|2;1036,1;1000000|12107;90|6;1000,0.03,2,0
1583,20,3;900201|3;900401|3;900001,1;200000|12107;20|6;200,0.01,1,0
1583,25,1;2024506|1;4175506|1;2073506,1;500000|12107;50|6;500,0.02,1,0
1583,30,2;1005;1|2;1019;1|2;1036;1,1;1000000|12107;90|6;1000,0.03,2,0
1583,35,3;900203|3;900403|3;900504,1;2000000|12107;150|6;2000,0.04,2,0
1584,20,3;900201|3;900401|3;900001,1;200000|12107;20|6;200,0.01,1,0
1584,25,1;2024506|1;4175506|1;2073506,1;500000|12107;50|6;500,0.02,1,0
1584,30,2;1005;2|2;1019;2|2;1036;2,1;1000000|12107;90|6;1000,0.03,2,0
1584,35,3;900203|3;900403|3;900504,1;2000000|12107;150|6;2000,0.04,2,0
1584,40,1;2024008|1;2175508|1;2073008,1;5000000|12107;220|6;5000,0.08,3,1
1585,20,3;900101|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
1585,25,1;1133506|1;1092506|1;1032006,1;500000|12103;50|6;500,0.02,1,0
1585,30,2;1031;1|2;1018;1|2;1027;1,1;1000000|12103;90|6;1000,0.03,2,0
1585,35,3;900102|3;900302|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1587,20,3;900201|3;900401|3;900001,1;200000|12121;20|6;200,0.01,1,0
1587,25,1;4024506|1;4095506|1;2101506,1;500000|12121;50|6;500,0.02,1,0
1587,30,2;1029|2;1018|2;1027,1;1000000|12121;90|6;1000,0.03,2,0
1587,35,3;900102|3;900302|3;900504,1;2000000|12121;150|6;2000,0.04,2,0
1587,40,1;1048508|1;1096008|1;1102508,1;5000000|12121;220|6;5000,0.08,3,1
1590,20,3;900101|3;900401|3;900001,1;200000|12103;20|6;200,0.01,1,0
1590,25,1;1115006|1;1031506|1;1185506,1;500000|12103;50|6;500,0.02,1,0
1590,30,2;1055|2;1020|2;1043,1;1000000|12103;90|6;1000,0.03,2,0
1591,20,3;900101|3;900401|3;900001,1;200000|12103;20|6;200,0.01,1,0
1591,25,1;1115006|1;1031506|1;1185506,1;500000|12103;50|6;500,0.02,1,0
1591,30,2;1055;1|2;1020;1|2;1043;1,1;1000000|12103;90|6;1000,0.03,2,0
1591,35,3;900103|3;900303|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1594,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1594,25,1;3185006|1;3094006|1;1024506,1;500000|12102;50|6;500,0.02,1,0
1594,30,2;1049;1|2;1019;1|2;1042;1,1;1000000|12102;90|6;1000,0.03,2,0
1594,35,3;900102|3;900302|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1595,20,3;900201|3;900401|3;900001,1;200000|12122;20|6;200,0.01,1,0
1595,25,1;2122506|1;2115006|1;1185006,1;500000|12122;50|6;500,0.02,1,0
1595,30,2;1010;2|2;1017;2|2;1036;2,1;1000000|12122;90|6;1000,0.03,2,0
1595,35,3;900202|3;900302|3;900504,1;2000000|12122;150|6;2000,0.04,2,0
1596,20,3;900201|3;900401|3;900001,1;200000|12122;20|6;200,0.01,1,0
1596,25,1;2122506|1;2115006|1;1185006,1;500000|12122;50|6;500,0.02,1,0
1596,30,2;1010;2|2;1017;2|2;1036;2,1;1000000|12122;90|6;1000,0.03,2,0
1596,35,3;900202|3;900302|3;900504,1;2000000|12122;150|6;2000,0.04,2,0
1596,40,1;1107008|1;3114508|1;3144008,1;5000000|12122;220|6;5000,0.08,3,1
1597,20,3;900101|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
1597,25,1;3115506|1;1034006|1;1172006,1;500000|12103;50|6;500,0.02,1,0
1597,30,2;1031|2;1020|2;1043,1;1000000|12103;90|6;1000,0.03,2,0
1598,20,3;900101|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
1598,25,1;3115506|1;1034006|1;1172006,1;500000|12103;50|6;500,0.02,1,0
1598,30,2;1031;1|2;1020;1|2;1043;1,1;1000000|12103;90|6;1000,0.03,2,0
1598,35,3;900102|3;900302|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1599,20,3;900102|3;900301|3;900001,1;200000|12128;20|6;200,0.01,1,0
1599,25,1;2143506|1;2171506|1;2102006,1;500000|12128;50|6;500,0.02,1,0
1599,30,2;1051;2|2;1017;2|2;1043;2,1;1000000|12128;90|6;1000,0.03,2,0
1600,20,3;900102|3;900301|3;900001,1;200000|12128;20|6;200,0.01,1,0
1600,25,1;2143506|1;2171506|1;2102006,1;500000|12128;50|6;500,0.02,1,0
1600,30,2;1051;2|2;1017;2|2;1043;2,1;1000000|12128;90|6;1000,0.03,2,0
1600,35,3;900102|3;900403|3;900504,1;2000000|12128;150|6;2000,0.04,2,0
1601,20,3;900102|3;900301|3;900001,1;200000|12128;20|6;200,0.01,1,0
1601,25,1;2143506|1;2171506|1;2102006,1;500000|12128;50|6;500,0.02,1,0
1601,30,2;1051;2|2;1017;2|2;1043;2,1;1000000|12128;90|6;1000,0.03,2,0
1601,35,3;900102|3;900403|3;900504,1;2000000|12128;150|6;2000,0.04,2,0
1601,40,1;4138508|1;4015008|1;2106508,1;5000000|12128;220|6;5000,0.08,3,1
1602,20,3;900102|3;900401|3;900001,1;200000|12121;20|6;200,0.01,1,0
1602,25,1;4095006|1;2022006|1;4105506,1;500000|12121;50|6;500,0.02,1,0
1602,30,2;1053;1|2;1015;1|2;1026;1,1;1000000|12121;90|6;1000,0.03,2,0
1603,20,3;900102|3;900401|3;900001,1;200000|12121;20|6;200,0.01,1,0
1603,25,1;4095006|1;2022006|1;4105506,1;500000|12121;50|6;500,0.02,1,0
1603,30,2;1053;1|2;1015;1|2;1026;1,1;1000000|12121;90|6;1000,0.03,2,0
1603,35,3;900102|3;900303|3;900504,1;2000000|12121;150|6;2000,0.04,2,0
1604,20,3;900102|3;900401|3;900001,1;200000|12121;20|6;200,0.01,1,0
1604,25,1;4095006|1;2022006|1;4105506,1;500000|12121;50|6;500,0.02,1,0
1604,30,2;1053;1|2;1015;1|2;1026;1,1;1000000|12121;90|6;1000,0.03,2,0
1604,35,3;900102|3;900303|3;900504,1;2000000|12121;150|6;2000,0.04,2,0
1604,40,1;2093008|1;4107508|1;2086008,1;5000000|12121;220|6;5000,0.08,3,1
1607,20,3;900201|3;900401|3;900001,1;200000|12108;20|6;200,0.01,1,0
1607,25,1;4164506|1;2085006|1;2014006,1;500000|12108;50|6;500,0.02,1,0
1607,30,2;1054;2|2;1017;2|2;1043;2,1;1000000|12108;90|6;1000,0.03,2,0
1608,20,3;900201|3;900401|3;900001,1;200000|12108;20|6;200,0.01,1,0
1608,25,1;4164506|1;2085006|1;2014006,1;500000|12108;50|6;500,0.02,1,0
1608,30,2;1054;2|2;1017;2|2;1043;2,1;1000000|12108;90|6;1000,0.03,2,0
1608,35,3;900202|3;900302|3;900504,1;2000000|12108;150|6;2000,0.04,2,0
1609,20,3;900201|3;900401|3;900001,1;200000|12108;20|6;200,0.01,1,0
1609,25,1;4164506|1;2085006|1;2014006,1;500000|12108;50|6;500,0.02,1,0
1609,30,2;1054;2|2;1017;2|2;1043;2,1;1000000|12108;90|6;1000,0.03,2,0
1609,35,3;900202|3;900302|3;900504,1;2000000|12108;150|6;2000,0.04,2,0
1609,40,1;2162008|1;2088008|1;2014508,1;5000000|12108;220|6;5000,0.08,3,1
1610,20,3;900101|3;900301|3;900001,1;200000|12106;20|6;200,0.01,1,0
1610,25,1;1055506|1;3014506|1;3065506,1;500000|12106;50|6;500,0.02,1,0
1610,30,2;1012|2;1019|2;1026,1;1000000|12106;90|6;1000,0.03,2,0
1611,20,3;900101|3;900301|3;900001,1;200000|12106;20|6;200,0.01,1,0
1611,25,1;1055506|1;3014506|1;3065506,1;500000|12106;50|6;500,0.02,1,0
1611,30,2;1012;1|2;1019;1|2;1026;1,1;1000000|12106;90|6;1000,0.03,2,0
1611,35,3;900102|3;900302|3;900504,1;2000000|12106;150|6;2000,0.04,2,0
1612,20,3;900101|3;900301|3;900001,1;200000|12106;20|6;200,0.01,1,0
1612,25,1;1055506|1;3014506|1;3065506,1;500000|12106;50|6;500,0.02,1,0
1612,30,2;1012;2|2;1019;2|2;1026;2,1;1000000|12106;90|6;1000,0.03,2,0
1612,35,3;900102|3;900302|3;900504,1;2000000|12106;150|6;2000,0.04,2,0
1612,40,1;3055508|1;1011508|1;1061508,1;5000000|12106;220|6;5000,0.08,3,1
1613,20,3;900101|3;900301|3;900001,1;200000|12107;20|6;200,0.01,1,0
1613,25,1;3155506|1;1141506|1;1072006,1;500000|12107;50|6;500,0.02,1,0
1613,30,2;1005|2;1019|2;1042,1;1000000|12107;90|6;1000,0.03,2,0
1614,20,3;900101|3;900301|3;900001,1;200000|12107;20|6;200,0.01,1,0
1614,25,1;3155506|1;1141506|1;1072006,1;500000|12107;50|6;500,0.02,1,0
1614,30,2;1005;2|2;1019;2|2;1042;2,1;1000000|12107;90|6;1000,0.03,2,0
1614,35,3;900102|3;900302|3;900504,1;2000000|12107;150|6;2000,0.04,2,0
1614,40,1;1151508|1;3145008|1;1073508,1;5000000|12107;220|6;5000,0.08,3,1
1615,20,3;900201|3;900401|3;900001,1;200000|12107;20|6;200,0.01,1,0
1615,25,1;2024506|1;4175506|1;2073506,1;500000|12107;50|6;500,0.02,1,0
1615,30,2;1005;2|2;1019;2|2;1036;2,1;1000000|12107;90|6;1000,0.03,2,0
1615,35,3;900203|3;900302|3;900504,1;2000000|12107;150|6;2000,0.04,2,0
1615,40,1;3078508|1;3088508|1;1087508,1;5000000|12107;220|6;5000,0.08,3,1
1619,20,3;900102|3;900401|3;900001,1;200000|12126;20|6;200,0.01,1,0
1619,25,1;3014006|1;3145506|1;1152506,1;500000|12126;50|6;500,0.02,1,0
1619,30,2;1030;2|2;1018;2|2;1035;3,1;1000000|12126;90|6;1000,0.03,2,0
1619,35,3;900102|3;900303|3;900504,1;2000000|12126;150|6;2000,0.04,2,0
1620,20,3;900102|3;900401|3;900001,1;200000|12126;20|6;200,0.01,1,0
1620,25,1;3014006|1;3145506|1;1152506,1;500000|12126;50|6;500,0.02,1,0
1620,30,2;1030;2|2;1018;2|2;1035;3,1;1000000|12126;90|6;1000,0.03,2,0
1620,35,3;900102|3;900303|3;900504,1;2000000|12126;150|6;2000,0.04,2,0
1620,40,1;3017008|1;1158508|1;1154508,1;5000000|12126;220|6;5000,0.08,3,1
1621,20,3;900101|3;900301|3;900001,1;200000|12106;20|6;200,0.01,1,0
1621,25,1;3014006|1;1104006|1;3065006,1;500000|12106;50|6;500,0.02,1,0
1621,30,2;1029;1|2;1019;1|2;1027;1,1;1000000|12106;90|6;1000,0.03,2,0
1621,35,3;900102|3;900302|3;900504,1;2000000|12106;150|6;2000,0.04,2,0
1622,20,3;900101|3;900301|3;900001,1;200000|12124;20|6;200,0.01,1,0
1622,25,1;1052506|1;3134006|1;1084506,1;500000|12124;50|6;500,0.02,1,0
1622,30,2;1051;1|2;1020;1|2;1044;1,1;1000000|12124;90|6;1000,0.03,2,0
1622,35,3;900102|3;900302|3;900504,1;2000000|12124;150|6;2000,0.04,2,0
1623,20,3;900101|3;900301|3;900001,1;200000|12124;20|6;200,0.01,1,0
1623,25,1;1052506|1;3134006|1;1084506,1;500000|12124;50|6;500,0.02,1,0
1623,30,2;1051;2|2;1020;2|2;1044;2,1;1000000|12124;90|6;1000,0.03,2,0
1623,35,3;900102|3;900302|3;900504,1;2000000|12124;150|6;2000,0.04,2,0
1623,40,1;3054008|1;3135008|1;1087508,1;5000000|12124;220|6;5000,0.08,3,1
1624,20,3;900102|3;900301|3;900001,1;200000|12105;20|6;200,0.01,1,0
1624,25,1;3144006|1;1053506|1;3015506,1;500000|12105;50|6;500,0.02,1,0
1624,30,2;1035;3|2;1021;3|2;1044;3,1;1000000|12105;90|6;1000,0.03,2,0
1624,35,3;900102|3;900403|3;900504,1;2000000|12105;150|6;2000,0.04,2,0
1625,20,3;900102|3;900301|3;900001,1;200000|12105;20|6;200,0.01,1,0
1625,25,1;3144006|1;1053506|1;3015506,1;500000|12105;50|6;500,0.02,1,0
1625,30,2;1035;3|2;1021;3|2;1044;3,1;1000000|12105;90|6;1000,0.03,2,0
1625,35,3;900102|3;900403|3;900504,1;2000000|12105;150|6;2000,0.04,2,0
1625,40,1;2053508|1;2137508|1;2017508,1;5000000|12105;220|6;5000,0.08,3,1
1627,20,3;900102|3;900401|3;900001,1;200000|12109;20|6;200,0.01,1,0
