副本ID,关卡名,关卡背景资源,战斗波数,过关金币（每一关胜利的获得）,过关宝可梦经验（每一关胜利的获得）,过关主角经验（每一关胜利的获得）,"关卡可能掉落的道具，格式为 掉率,道具ID,数量|其它…",挂机获得金币，单位每分钟,挂机获得宠物经验，单位每分钟,挂机人物经验（单位：分钟）不用收取，自动获得，经验到达等级后自动升级，在线离线都增加,挂机金币上限,挂机经验上限,阵型,BOSS（1为boss，不填或0为普通）,自动战力
2729,,3,4,63000,230110,3000,"100,700208,1|100,12001,3|100,12002,5|100,10702,1",12526,6369,887,18037440,9171360,129,0,34252500
2730,,3,4,63000,230120,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6369,887,18037440,9171360,229,1,34275000
2731,,3,4,63000,230130,3000,"100,700305,1|100,12001,3|100,12002,5|100,10702,1",12526,6369,887,18037440,9171360,329,0,34297500
2732,,3,4,63000,230140,3000,"100,700306,1|100,12001,3|100,12002,5|100,10702,1",12526,6370,887,18037440,9172800,429,0,34320000
2733,,3,4,63000,230150,3000,"100,700307,1|100,12001,3|100,12002,5|100,10702,1",12526,6370,887,18037440,9172800,29,0,34342500
2734,,3,4,63000,230160,3000,"100,700308,1|100,12001,3|100,12002,5|100,10702,1",12526,6370,887,18037440,9172800,129,0,34365000
2735,,3,4,63000,230170,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6370,887,18037440,9172800,229,1,34387500
2736,,4,4,63000,230180,3000,"100,700405,1|100,12001,3|100,12002,5|100,10702,1",12526,6371,887,18037440,9174240,329,0,34410000
2737,,4,4,63000,230190,3000,"100,700406,1|100,12001,3|100,12002,5|100,10702,1",12526,6371,887,18037440,9174240,429,0,34432500
2738,,4,4,63000,230200,3000,"100,700407,1|100,12001,3|100,12002,5|100,10702,1",12526,6371,887,18037440,9174240,29,0,34455000
2739,,4,4,63000,230210,3000,"100,700408,1|100,12001,3|100,12002,5|100,10702,1",12526,6371,887,18037440,9174240,129,0,34477500
2740,,4,4,63000,230220,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6372,887,18037440,9175680,229,1,34500000
2741,,4,4,63000,230230,3000,"100,700105,1|100,12001,3|100,12002,5|100,10702,1",12526,6372,888,18037440,9175680,329,0,34522500
2742,,4,4,63000,230240,3000,"100,700106,1|100,12001,3|100,12002,5|100,10702,1",12526,6372,888,18037440,9175680,429,0,34545000
2743,,4,4,63000,230250,3000,"100,700107,1|100,12001,3|100,12002,5|100,10702,1",12526,6372,888,18037440,9175680,29,0,34567500
2744,,4,4,63000,230260,3000,"100,700108,1|100,12001,3|100,12002,5|100,10702,1",12526,6373,888,18037440,9177120,129,0,34590000
2745,,4,4,63000,230270,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6373,888,18037440,9177120,229,1,34612500
2746,,4,4,63000,230280,3000,"100,700205,1|100,12001,3|100,12002,5|100,10702,1",12526,6373,888,18037440,9177120,329,0,34635000
2747,,4,4,63000,230290,3000,"100,700206,1|100,12001,3|100,12002,5|100,10702,1",12526,6374,888,18037440,9178560,429,0,34657500
2748,,4,4,63000,230300,3000,"100,700207,1|100,12001,3|100,12002,5|100,10702,1",12526,6374,888,18037440,9178560,29,0,34680000
2749,,4,4,63000,230310,3000,"100,700208,1|100,12001,3|100,12002,5|100,10702,1",12526,6374,888,18037440,9178560,129,0,34702500
2750,,4,4,63000,230320,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6374,888,18037440,9178560,229,1,34725000
2751,,4,4,63000,230330,3000,"100,700305,1|100,12001,3|100,12002,5|100,10702,1",12526,6375,888,18037440,9180000,329,0,34747500
2752,,4,4,63000,230340,3000,"100,700306,1|100,12001,3|100,12002,5|100,10702,1",12526,6375,888,18037440,9180000,429,0,34770000
2753,,4,4,63000,230350,3000,"100,700307,1|100,12001,3|100,12002,5|100,10702,1",12526,6375,888,18037440,9180000,429,0,34792500
2754,,4,4,63000,230360,3000,"100,700308,1|100,12001,3|100,12002,5|100,10702,1",12526,6375,888,18037440,9180000,29,0,34815000
2755,,4,4,63000,230370,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6376,888,18037440,9181440,129,1,34837500
2756,,5,4,63000,230380,3000,"100,700405,1|100,12001,3|100,12002,5|100,10702,1",12526,6376,888,18037440,9181440,229,0,34860000
2757,,5,4,63000,230390,3000,"100,700406,1|100,12001,3|100,12002,5|100,10702,1",12526,6376,888,18037440,9181440,329,0,34882500
2758,,5,4,63000,230400,3000,"100,700407,1|100,12001,3|100,12002,5|100,10702,1",12526,6377,888,18037440,9182880,429,0,34905000
2759,,5,4,63000,230410,3000,"100,700408,1|100,12001,3|100,12002,5|100,10702,1",12526,6377,888,18037440,9182880,29,0,34927500
2760,,5,4,63000,230420,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6377,888,18037440,9182880,129,1,34950000
2761,,5,4,63000,230430,3000,"100,700105,1|100,12001,3|100,12002,5|100,10702,1",12526,6377,889,18037440,9182880,229,0,34972500
2762,,5,4,63000,230440,3000,"100,700106,1|100,12001,3|100,12002,5|100,10702,1",12526,6378,889,18037440,9184320,329,0,34995000
2763,,5,4,63000,230450,3000,"100,700107,1|100,12001,3|100,12002,5|100,10702,1",12526,6378,889,18037440,9184320,429,0,35017500
2764,,5,4,63000,230460,3000,"100,700108,1|100,12001,3|100,12002,5|100,10702,1",12526,6378,889,18037440,9184320,29,0,35040000
2765,,5,4,63000,230470,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6378,889,18037440,9184320,129,1,35062500
2766,,5,4,63000,230480,3000,"100,700205,1|100,12001,3|100,12002,5|100,10702,1",12526,6379,889,18037440,9185760,229,0,35085000
2767,,5,4,63000,230490,3000,"100,700206,1|100,12001,3|100,12002,5|100,10702,1",12526,6379,889,18037440,9185760,329,0,35107500
2768,,5,4,63000,230500,3000,"100,700207,1|100,12001,3|100,12002,5|100,10702,1",12526,6379,889,18037440,9185760,429,0,35130000
2769,,5,4,63000,230510,3000,"100,700208,1|100,12001,3|100,12002,5|100,10702,1",12526,6380,889,18037440,9187200,29,0,35152500
2770,,5,4,63000,230520,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6380,889,18037440,9187200,129,1,35175000
2771,,5,4,63000,230530,3000,"100,700305,1|100,12001,3|100,12002,5|100,10702,1",12526,6380,889,18037440,9187200,229,0,35197500
2772,,5,4,63000,230540,3000,"100,700306,1|100,12001,3|100,12002,5|100,10702,1",12526,6380,889,18037440,9187200,329,0,35220000
2773,,5,4,63000,230550,3000,"100,700307,1|100,12001,3|100,12002,5|100,10702,1",12526,6381,889,18037440,9188640,429,0,35242500
2774,,5,4,63000,230560,3000,"100,700308,1|100,12001,3|100,12002,5|100,10702,1",12526,6381,889,18037440,9188640,29,0,35265000
2775,,5,4,63000,230570,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6381,889,18037440,9188640,129,1,35287500
2776,,6,4,63000,230580,3000,"100,700405,1|100,12001,3|100,12002,5|100,10702,1",12526,6381,889,18037440,9188640,229,0,35310000
2777,,6,4,63000,230590,3000,"100,700406,1|100,12001,3|100,12002,5|100,10702,1",12526,6382,889,18037440,9190080,329,0,35332500
2778,,6,4,63000,230600,3000,"100,700407,1|100,12001,3|100,12002,5|100,10702,1",12526,6382,889,18037440,9190080,429,0,35355000
2779,,6,4,63000,230610,3000,"100,700408,1|100,12001,3|100,12002,5|100,10702,1",12526,6382,889,18037440,9190080,29,0,35377500
2780,,6,4,63000,230620,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6382,889,18037440,9190080,129,1,35400000
2781,,6,4,63000,230630,3000,"100,700105,1|100,12001,3|100,12002,5|100,10702,1",12526,6383,890,18037440,9191520,229,0,35422500
2782,,6,4,63000,230640,3000,"100,700106,1|100,12001,3|100,12002,5|100,10702,1",12526,6383,890,18037440,9191520,329,0,35445000
2783,,6,4,63000,230650,3000,"100,700107,1|100,12001,3|100,12002,5|100,10702,1",12526,6383,890,18037440,9191520,429,0,35467500
2784,,6,4,63000,230660,3000,"100,700108,1|100,12001,3|100,12002,5|100,10702,1",12526,6384,890,18037440,9192960,29,0,35490000
2785,,6,4,63000,230670,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6384,890,18037440,9192960,129,1,35512500
2786,,6,4,63000,230680,3000,"100,700205,1|100,12001,3|100,12002,5|100,10702,1",12526,6384,890,18037440,9192960,229,0,35535000
2787,,6,4,63000,230690,3000,"100,700206,1|100,12001,3|100,12002,5|100,10702,1",12526,6384,890,18037440,9192960,329,0,35557500
2788,,6,4,63000,230700,3000,"100,700207,1|100,12001,3|100,12002,5|100,10702,1",12526,6385,890,18037440,9194400,429,0,35580000
2789,,6,4,63000,230710,3000,"100,700208,1|100,12001,3|100,12002,5|100,10702,1",12526,6385,890,18037440,9194400,29,0,35602500
2790,,6,4,63000,230720,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6385,890,18037440,9194400,129,1,35625000
2791,,6,4,63000,230730,3000,"100,700305,1|100,12001,3|100,12002,5|100,10702,1",12526,6385,890,18037440,9194400,229,0,35647500
2792,,6,4,63000,230740,3000,"100,700306,1|100,12001,3|100,12002,5|100,10702,1",12526,6386,890,18037440,9195840,329,0,35670000
2793,,6,4,63000,230750,3000,"100,700307,1|100,12001,3|100,12002,5|100,10702,1",12526,6386,890,18037440,9195840,429,0,35692500
2794,,6,4,63000,230760,3000,"100,700308,1|100,12001,3|100,12002,5|100,10702,1",12526,6386,890,18037440,9195840,29,0,35715000
2795,,6,4,63000,230770,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6387,890,18037440,9197280,129,1,35737500
2796,,7,4,63000,230780,3000,"100,700405,1|100,12001,3|100,12002,5|100,10702,1",12526,6387,890,18037440,9197280,229,0,35760000
2797,,7,4,63000,230790,3000,"100,700406,1|100,12001,3|100,12002,5|100,10702,1",12526,6387,890,18037440,9197280,329,0,35782500
2798,,7,4,63000,230800,3000,"100,700407,1|100,12001,3|100,12002,5|100,10702,1",12526,6387,890,18037440,9197280,429,0,35805000
2799,,7,4,63000,230810,3000,"100,700408,1|100,12001,3|100,12002,5|100,10702,1",12526,6388,890,18037440,9198720,29,0,35827500
2800,,7,4,63000,230820,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6388,890,18037440,9198720,129,1,35850000
2801,,7,4,64800,230830,3000,"100,700105,1|100,12001,3|100,12002,5|100,10702,1",12526,6388,891,18037440,9198720,229,0,35872500
2802,,7,4,64800,230840,3000,"100,700106,1|100,12001,3|100,12002,5|100,10702,1",12526,6388,891,18037440,9198720,329,0,35895000
2803,,7,4,64800,230850,3000,"100,700107,1|100,12001,3|100,12002,5|100,10702,1",12526,6389,891,18037440,9200160,429,0,35917500
2804,,7,4,64800,230860,3000,"100,700108,1|100,12001,3|100,12002,5|100,10702,1",12526,6389,891,18037440,9200160,29,0,35940000
2805,,7,4,64800,230870,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6389,891,18037440,9200160,129,1,35962500
2806,,7,4,64800,230880,3000,"100,700205,1|100,12001,3|100,12002,5|100,10702,1",12526,6390,891,18037440,9201600,229,0,35985000
2807,,7,4,64800,230890,3000,"100,700206,1|100,12001,3|100,12002,5|100,10702,1",12526,6390,891,18037440,9201600,329,0,36007500
2808,,7,4,64800,230900,3000,"100,700207,1|100,12001,3|100,12002,5|100,10702,1",12526,6390,891,18037440,9201600,429,0,36030000
2809,,7,4,64800,230910,3000,"100,700208,1|100,12001,3|100,12002,5|100,10702,1",12526,6390,891,18037440,9201600,29,0,36052500
2810,,7,4,64800,230920,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6391,891,18037440,9203040,129,1,36075000
2811,,7,4,64800,230930,3000,"100,700305,1|100,12001,3|100,12002,5|100,10702,1",12526,6391,891,18037440,9203040,229,0,36097500
2812,,7,4,64800,230940,3000,"100,700306,1|100,12001,3|100,12002,5|100,10702,1",12526,6391,891,18037440,9203040,329,0,36120000
2813,,7,4,64800,230950,3000,"100,700307,1|100,12001,3|100,12002,5|100,10702,1",12526,6391,891,18037440,9203040,429,0,36142500
2814,,7,4,64800,230960,3000,"100,700308,1|100,12001,3|100,12002,5|100,10702,1",12526,6392,891,18037440,9204480,429,0,36165000
2815,,7,4,64800,230970,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6392,891,18037440,9204480,29,1,36187500
2816,,8,4,64800,230980,3000,"100,700405,1|100,12001,3|100,12002,5|100,10702,1",12526,6392,891,18037440,9204480,129,0,36210000
2817,,8,4,64800,230990,3000,"100,700406,1|100,12001,3|100,12002,5|100,10702,1",12526,6392,891,18037440,9204480,229,0,36232500
2818,,8,4,64800,231000,3000,"100,700407,1|100,12001,3|100,12002,5|100,10702,1",12526,6393,891,18037440,9205920,329,0,36255000
2819,,8,4,64800,231010,3000,"100,700408,1|100,12001,3|100,12002,5|100,10702,1",12526,6393,891,18037440,9205920,429,0,36277500
2820,,8,4,64800,231020,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6393,891,18037440,9205920,29,1,36300000
2821,,8,4,64800,231030,3000,"100,700105,1|100,12001,3|100,12002,5|100,10702,1",12526,6394,892,18037440,9207360,129,0,36322500
2822,,8,4,64800,231040,3000,"100,700106,1|100,12001,3|100,12002,5|100,10702,1",12526,6394,892,18037440,9207360,229,0,36345000
2823,,8,4,64800,231050,3000,"100,700107,1|100,12001,3|100,12002,5|100,10702,1",12526,6394,892,18037440,9207360,329,0,36367500
2824,,8,4,64800,231060,3000,"100,700108,1|100,12001,3|100,12002,5|100,10702,1",12526,6394,892,18037440,9207360,429,0,36390000
2825,,8,4,64800,231070,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6395,892,18037440,9208800,29,1,36412500
2826,,8,4,64800,231080,3000,"100,700205,1|100,12001,3|100,12002,5|100,10702,1",12526,6395,892,18037440,9208800,129,0,36435000
2827,,8,4,64800,231090,3000,"100,700206,1|100,12001,3|100,12002,5|100,10702,1",12526,6395,892,18037440,9208800,229,0,36457500
2828,,8,4,64800,231100,3000,"100,700207,1|100,12001,3|100,12002,5|100,10702,1",12526,6395,892,18037440,9208800,329,0,36480000
2829,,8,4,64800,231110,3000,"100,700208,1|100,12001,3|100,12002,5|100,10702,1",12526,6396,892,18037440,9210240,429,0,36502500
2830,,8,4,64800,231120,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6396,892,18037440,9210240,29,1,36525000
2831,,8,4,64800,231130,3000,"100,700305,1|100,12001,3|100,12002,5|100,10702,1",12526,6396,892,18037440,9210240,129,0,36547500
2832,,8,4,64800,231140,3000,"100,700306,1|100,12001,3|100,12002,5|100,10702,1",12526,6397,892,18037440,9211680,229,0,36570000
2833,,8,4,64800,231150,3000,"100,700307,1|100,12001,3|100,12002,5|100,10702,1",12526,6397,892,18037440,9211680,329,0,36592500
2834,,8,4,64800,231160,3000,"100,700308,1|100,12001,3|100,12002,5|100,10702,1",12526,6397,892,18037440,9211680,429,0,36615000
2835,,8,4,64800,231170,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6397,892,18037440,9211680,29,1,36637500
2836,,9,4,64800,231180,3000,"100,700405,1|100,12001,3|100,12002,5|100,10702,1",12526,6398,892,18037440,9213120,129,0,36660000
2837,,9,4,64800,231190,3000,"100,700406,1|100,12001,3|100,12002,5|100,10702,1",12526,6398,892,18037440,9213120,229,0,36682500
2838,,9,4,64800,231200,3000,"100,700407,1|100,12001,3|100,12002,5|100,10702,1",12526,6398,892,18037440,9213120,329,0,36705000
2839,,9,4,64800,231210,3000,"100,700408,1|100,12001,3|100,12002,5|100,10702,1",12526,6398,892,18037440,9213120,429,0,36727500
2840,,9,4,64800,231220,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6399,892,18037440,9214560,429,1,36750000
2841,,9,4,64800,231230,3000,"100,700105,1|100,12001,3|100,12002,5|100,10702,1",12526,6399,893,18037440,9214560,29,0,36772500
2842,,9,4,64800,231240,3000,"100,700106,1|100,12001,3|100,12002,5|100,10702,1",12526,6399,893,18037440,9214560,129,0,36795000
2843,,9,4,64800,231250,3000,"100,700107,1|100,12001,3|100,12002,5|100,10702,1",12526,6400,893,18037440,9216000,229,0,36817500
2844,,9,4,64800,231260,3000,"100,700108,1|100,12001,3|100,12002,5|100,10702,1",12526,6400,893,18037440,9216000,329,0,36840000
2845,,9,4,64800,231270,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6400,893,18037440,9216000,429,1,36862500
2846,,9,4,64800,231280,3000,"100,700205,1|100,12001,3|100,12002,5|100,10702,1",12526,6400,893,18037440,9216000,29,0,36885000
2847,,9,4,64800,231290,3000,"100,700206,1|100,12001,3|100,12002,5|100,10702,1",12526,6401,893,18037440,9217440,129,0,36907500
2848,,9,4,64800,231300,3000,"100,700207,1|100,12001,3|100,12002,5|100,10702,1",12526,6401,893,18037440,9217440,229,0,36930000
2849,,9,4,64800,231310,3000,"100,700208,1|100,12001,3|100,12002,5|100,10702,1",12526,6401,893,18037440,9217440,329,0,36952500
2850,,9,4,64800,231320,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6401,893,18037440,9217440,429,1,36975000
2851,,9,4,64800,231330,3000,"100,700305,1|100,12001,3|100,12002,5|100,10702,1",12526,6402,893,18037440,9218880,29,0,36997500
2852,,9,4,64800,231340,3000,"100,700306,1|100,12001,3|100,12002,5|100,10702,1",12526,6402,893,18037440,9218880,129,0,37020000
2853,,9,4,64800,231350,3000,"100,700307,1|100,12001,3|100,12002,5|100,10702,1",12526,6402,893,18037440,9218880,229,0,37042500
2854,,9,4,64800,231360,3000,"100,700308,1|100,12001,3|100,12002,5|100,10702,1",12526,6402,893,18037440,9218880,329,0,37065000
2855,,9,4,64800,231370,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6403,893,18037440,9220320,429,1,37087500
2856,,10,4,64800,231380,3000,"100,700405,1|100,12001,3|100,12002,5|100,10702,1",12526,6403,893,18037440,9220320,29,0,37110000
2857,,10,4,64800,231390,3000,"100,700406,1|100,12001,3|100,12002,5|100,10702,1",12526,6403,893,18037440,9220320,129,0,37132500
2858,,10,4,64800,231400,3000,"100,700407,1|100,12001,3|100,12002,5|100,10702,1",12526,6404,893,18037440,9221760,229,0,37155000
2859,,10,4,64800,231410,3000,"100,700408,1|100,12001,3|100,12002,5|100,10702,1",12526,6404,893,18037440,9221760,329,0,37177500
2860,,10,4,64800,231420,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6404,893,18037440,9221760,429,1,37200000
2861,,10,4,64800,231430,3000,"100,700105,1|100,12001,3|100,12002,5|100,10702,1",12526,6404,894,18037440,9221760,29,0,37222500
2862,,10,4,64800,231440,3000,"100,700106,1|100,12001,3|100,12002,5|100,10702,1",12526,6405,894,18037440,9223200,129,0,37245000
2863,,10,4,64800,231450,3000,"100,700107,1|100,12001,3|100,12002,5|100,10702,1",12526,6405,894,18037440,9223200,229,0,37267500
2864,,10,4,64800,231460,3000,"100,700108,1|100,12001,3|100,12002,5|100,10702,1",12526,6405,894,18037440,9223200,329,0,37290000
2865,,10,4,64800,231470,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6405,894,18037440,9223200,429,1,37312500
2866,,10,4,64800,231480,3000,"100,700205,1|100,12001,3|100,12002,5|100,10702,1",12526,6406,894,18037440,9224640,29,0,37335000
2867,,10,4,64800,231490,3000,"100,700206,1|100,12001,3|100,12002,5|100,10702,1",12526,6406,894,18037440,9224640,129,0,37357500
2868,,10,4,64800,231500,3000,"100,700207,1|100,12001,3|100,12002,5|100,10702,1",12526,6406,894,18037440,9224640,229,0,37380000
2869,,10,4,64800,231510,3000,"100,700208,1|100,12001,3|100,12002,5|100,10702,1",12526,6407,894,18037440,9226080,329,0,37402500
2870,,10,4,64800,231520,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6407,894,18037440,9226080,429,1,37425000
2871,,10,4,64800,231530,3000,"100,700305,1|100,12001,3|100,12002,5|100,10702,1",12526,6407,894,18037440,9226080,29,0,37447500
2872,,10,4,64800,231540,3000,"100,700306,1|100,12001,3|100,12002,5|100,10702,1",12526,6407,894,18037440,9226080,129,0,37470000
2873,,10,4,64800,231550,3000,"100,700307,1|100,12001,3|100,12002,5|100,10702,1",12526,6408,894,18037440,9227520,229,0,37492500
2874,,10,4,64800,231560,3000,"100,700308,1|100,12001,3|100,12002,5|100,10702,1",12526,6408,894,18037440,9227520,329,0,37515000
2875,,10,4,64800,231570,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6408,894,18037440,9227520,429,1,37537500
2876,,11,4,64800,231580,3000,"100,700405,1|100,12001,3|100,12002,5|100,10702,1",12526,6408,894,18037440,9227520,29,0,37560000
2877,,11,4,64800,231590,3000,"100,700406,1|100,12001,3|100,12002,5|100,10702,1",12526,6409,894,18037440,9228960,129,0,37582500
2878,,11,4,64800,231600,3000,"100,700407,1|100,12001,3|100,12002,5|100,10702,1",12526,6409,894,18037440,9228960,229,0,37605000
2879,,11,4,64800,231610,3000,"100,700408,1|100,12001,3|100,12002,5|100,10702,1",12526,6409,894,18037440,9228960,329,0,37627500
2880,,11,4,64800,231620,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6410,894,18037440,9230400,429,1,37650000
2881,,11,4,64800,231630,3000,"100,700105,1|100,12001,3|100,12002,5|100,10702,1",12526,6410,895,18037440,9230400,429,0,37672500
2882,,11,4,64800,231640,3000,"100,700106,1|100,12001,3|100,12002,5|100,10702,1",12526,6410,895,18037440,9230400,29,0,37695000
2883,,11,4,64800,231650,3000,"100,700107,1|100,12001,3|100,12002,5|100,10702,1",12526,6410,895,18037440,9230400,129,0,37717500
2884,,11,4,64800,231660,3000,"100,700108,1|100,12001,3|100,12002,5|100,10702,1",12526,6411,895,18037440,9231840,229,0,37740000
2885,,11,4,64800,231670,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6411,895,18037440,9231840,329,1,37762500
2886,,11,4,64800,231680,3000,"100,700205,1|100,12001,3|100,12002,5|100,10702,1",12526,6411,895,18037440,9231840,429,0,37785000
2887,,11,4,64800,231690,3000,"100,700206,1|100,12001,3|100,12002,5|100,10702,1",12526,6411,895,18037440,9231840,29,0,37807500
2888,,11,4,64800,231700,3000,"100,700207,1|100,12001,3|100,12002,5|100,10702,1",12526,6412,895,18037440,9233280,129,0,37830000
2889,,11,4,64800,231710,3000,"100,700208,1|100,12001,3|100,12002,5|100,10702,1",12526,6412,895,18037440,9233280,229,0,37852500
2890,,11,4,64800,231720,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6412,895,18037440,9233280,329,1,37875000
2891,,11,4,64800,231730,3000,"100,700305,1|100,12001,3|100,12002,5|100,10702,1",12526,6412,895,18037440,9233280,429,0,37897500
2892,,11,4,64800,231740,3000,"100,700306,1|100,12001,3|100,12002,5|100,10702,1",12526,6413,895,18037440,9234720,29,0,37920000
2893,,11,4,64800,231750,3000,"100,700307,1|100,12001,3|100,12002,5|100,10702,1",12526,6413,895,18037440,9234720,129,0,37942500
2894,,11,4,64800,231760,3000,"100,700308,1|100,12001,3|100,12002,5|100,10702,1",12526,6413,895,18037440,9234720,229,0,37965000
2895,,11,4,64800,231770,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6414,895,18037440,9236160,329,1,37987500
2896,,12,4,64800,231780,3000,"100,700405,1|100,12001,3|100,12002,5|100,10702,1",12526,6414,895,18037440,9236160,429,0,38010000
2897,,12,4,64800,231790,3000,"100,700406,1|100,12001,3|100,12002,5|100,10702,1",12526,6414,895,18037440,9236160,29,0,38032500
2898,,12,4,64800,231800,3000,"100,700407,1|100,12001,3|100,12002,5|100,10702,1",12526,6414,895,18037440,9236160,129,0,38055000
2899,,12,4,64800,231810,3000,"100,700408,1|100,12001,3|100,12002,5|100,10702,1",12526,6415,895,18037440,9237600,229,0,38077500
2900,,12,4,64800,231820,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6415,895,18037440,9237600,329,1,38100000
2901,,12,4,66600,231830,3000,"100,700105,1|100,12001,3|100,12002,5|100,10702,1",12526,6415,896,18037440,9237600,429,0,38122500
2902,,12,4,66600,231840,3000,"100,700106,1|100,12001,3|100,12002,5|100,10702,1",12526,6415,896,18037440,9237600,29,0,38145000
2903,,12,4,66600,231850,3000,"100,700107,1|100,12001,3|100,12002,5|100,10702,1",12526,6416,896,18037440,9239040,129,0,38167500
2904,,12,4,66600,231860,3000,"100,700108,1|100,12001,3|100,12002,5|100,10702,1",12526,6416,896,18037440,9239040,229,0,38190000
2905,,12,4,66600,231870,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6416,896,18037440,9239040,329,1,38212500
2906,,12,4,66600,231880,3000,"100,700205,1|100,12001,3|100,12002,5|100,10702,1",12526,6417,896,18037440,9240480,429,0,38235000
2907,,12,4,66600,231890,3000,"100,700206,1|100,12001,3|100,12002,5|100,10702,1",12526,6417,896,18037440,9240480,29,0,38257500
2908,,12,4,66600,231900,3000,"100,700207,1|100,12001,3|100,12002,5|100,10702,1",12526,6417,896,18037440,9240480,129,0,38280000
2909,,12,4,66600,231910,3000,"100,700208,1|100,12001,3|100,12002,5|100,10702,1",12526,6417,896,18037440,9240480,229,0,38302500
2910,,12,4,66600,231920,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6418,896,18037440,9241920,329,1,38325000
2911,,12,4,66600,231930,3000,"100,700305,1|100,12001,3|100,12002,5|100,10702,1",12526,6418,896,18037440,9241920,429,0,38347500
2912,,12,4,66600,231940,3000,"100,700306,1|100,12001,3|100,12002,5|100,10702,1",12526,6418,896,18037440,9241920,29,0,38370000
2913,,12,4,66600,231950,3000,"100,700307,1|100,12001,3|100,12002,5|100,10702,1",12526,6418,896,18037440,9241920,129,0,38392500
2914,,12,4,66600,231960,3000,"100,700308,1|100,12001,3|100,12002,5|100,10702,1",12526,6419,896,18037440,9243360,229,0,38415000
2915,,12,4,66600,231970,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12526,6419,896,18037440,9243360,329,1,38437500
2916,,13,4,66600,231980,3000,"100,700405,1|100,12001,3|100,12002,5|100,10702,1",12526,6419,896,18037440,9243360,429,0,38460000
2917,,13,4,66600,231990,3000,"100,700406,1|100,12001,3|100,12002,5|100,10702,1",12526,6420,896,18037440,9244800,29,0,38482500
2918,,13,4,66600,232000,3000,"100,700407,1|100,12001,3|100,12002,5|100,10702,1",12526,6420,896,18037440,9244800,129,0,38505000
2919,,13,4,66600,232010,3000,"100,700408,1|100,12001,3|100,12002,5|100,10702,1",12526,6420,896,18037440,9244800,229,0,38527500
2920,,13,4,66600,232020,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12526,6420,896,18037440,9244800,329,1,38550000
